date,message,school
28-Feb-20,"Dear FSU Family,

Florida State University continues to closely monitor advisories and updates from the Centers for Disease Control concerning the COVID-19 coronavirus that has spread to many countries.

The safety of our students, faculty and staff is our paramount concern. As we head into spring break and many people are on the move, I want to update you on actions the university is taking to protect our campus community.

FSU has suspended travel to China and South Korea, where the warning level has been set by the CDC at Level 3. Travelers are not authorized to travel to these nations until further notice.

Heightened levels of alert also exist for Japan, Iran and Italy, which currently are at Level 2. We have suspended university related faculty and staff travel to those countries, as well, without approval of your divisions vice president. If you do visit any countries with the above warning levels or any affected area we strongly encourage you to self-isolate for a quarantine period of 14 days when you return.

In an abundance of caution, FSU canceled classes at its Florence Study Center for the week. We have not closed our residences in Florence in case some students want to remain in place during that programs spring break. We are continuing to monitor the situation in Italy, and around the globe. Information regarding all summer programs will be updated by the end of March.

We also have identified and contacted FSU students in the affected countries who are traveling as exchange students, as well as faculty or staff who were traveling on FSU business, to assist them. Please contact the university as soon as possible if you require assistance and have not yet been contacted.

No cases of the virus have been reported at FSU or confirmed in the state of Florida, and the risk is considered low, but the university is being proactive. FSU is coordinating with the Leon County Health Department and the Florida Department of Health to review protocols in preparation for the possibility of a case here.

For now, I encourage you to do your part to protect yourself and others. There is no vaccine at this time to prevent the virus and no specific treatment that is recommended. The CDC advises that the best thing to do is avoid being exposed and stay healthy by taking everyday actions against respiratory illness such as washing your hands often with soap and water for at least 20 seconds and getting a flu shot. Additional health information is provided on the FSU Alert page. (alerts.fsu.edu)

Most importantly, if you have a respiratory illness or fever, please stay home. We will work with the deans and faculty to accommodate students who are ill, and we urge sick faculty and staff to work with your dean, department head or supervisor to coordinate coverage of your responsibilities.

For faculty and staff matters related to this issue, please contact Tracey Pearson (staff) at 850-644-3694 or Rebecca Peterson (faculty) at 850-645-2202, both in the Office of Human Resources.

Students at our Florida campuses can contact the University Health Services (UHS) Administrative Office at 850-645-0620.

If you are an FSU student currently enrolled in one of our study abroad programs, please contact the Office of International Programs with any questions or concerns.

As the spread of the coronavirus continues to develop, more countries are likely to be added to the list of those to avoid. Please consult the FSU Alert website for regular updates in the coming days and keep yourself informed about this important health issue. There are multiple links provided on the site with helpful information, or visit:  www.cdc.gov .

Sincerely,

John Thrasher
President
",Florida State University
28-Feb-20,"This message to all faculty and staff has been approved by Kyle Clark, Vice President for Finance & Administration.

Due to recently updated guidance from the US Department of State and the Centers for Disease Control & Prevention (CDC), FSU is now suspending travel to South Korea, Italy, Japan, and Iran. The CDC recommends that travelers avoid all nonessential travel to both South Korea and China (not including Hong Kong, Macau, or the island of Taiwan) and is recommending enhanced precautions for travelers to Italy, Japan, and Iran  while outbreaks of respiratory illness caused by the Coronavirus Disease 2019 (COVID-19) are ongoing. Travel to South Korea, Italy, Iran, Japan, or China must be deemed essential and approved by the travelers Vice President in order to be processed in the Concur system. Travel requests for the Hubei Province of China will continue to be unauthorized until further notice.

For updates and additional information visit the US Department of State  and Centers for Disease Control  websites.

Please contact travel@fsu.edu  for questions regarding University travel to these countries.


",Florida State University
2-Mar-20,"The spring semester programs at Florida State Universitys Study Center in Florence, Italy have been canceled and preparations are currently underway to close the Florence Study Center no later than March 9, 2020.

The university has notified all affected students currently enrolled in the Florence programs and is actively providing those students with instructions and assistance regarding travel, academics, finances and all other areas as needed. Florence students have been instructed to self-quarantine for 14 days upon return from Italy. Florence students should not return to the main campus. Florence students with any questions or concerns should contact the Office of International Programs.

Spring semester programs at Florida State Universitys other international study centers are continuing as scheduled at this time. If you are an FSU student currently enrolled in one of the universitys study abroad programs, and have any questions or concerns, please contact the Office of International Programs.

",Florida State University
3-Mar-20,"Dear Faculty, Staff and Students,

I want to update you on this development regarding COVID-19, the coronavirus. As of today, visits to campus by Visiting Student Scholars are being postponed. The Center for Global Engagement is reaching out and working directly with affected guests. Future invitations related to Visiting Student Scholars are being delayed until further notice.

As I communicated previously, faculty, staff and student university business is not authorized for Level 2 or Level 3 countries. Currently, these include China, Iran, Italy, Japan and South Korea. As our colleagues and friends return home from these areas, we are requesting that they self-quarantine for 14 days and not return to campus until this time has elapsed. Faculty and staff who need assistance may contact Tracey Pearson (staff) at 850-644-3694 or Rebecca Peterson (faculty) at 850-645-2202, both in the Office of Human Resources. Students at our Florida campuses can contact the University Health Services (UHS) Administrative Office at 850-645-0620.

If university employees have previously scheduled trips that now need to be delayed or postponed, they should contact the travel office to assist with specific questions and assistance.

For your health and safety, and the safety of others, I want to strongly discourage international travel or travel to any area that is affected by the virus. Before making plans, please check with the Centers for Disease Control website. I urge you to read the travel directive below from the Chancellor and the Chair of the Florida Board of Governors, which oversees Floridas public university system.

John Thrasher
President
",Florida State University
3-Mar-20,"Florida State University is taking aggressive steps to prevent the spread of disease, such as COVID-19, by promoting healthy habits and enhancing its existing cleaning and disinfection practices.

This cannot be achieved without the help of the entire campus community. First and foremost, this means engaging in healthy habits such as washing hands with soap and water for 20 seconds; covering your cough or sneeze; avoiding touching your eyes, nose and mouth; avoiding those who are sick; and staying home when you are sick. Signage promoting this is posted throughout campus.

University partners including Facilities, Recreation, Housing, and others have reviewed cleaning protocols and products and are taking extra measures to disinfect frequently touched areas like doorknobs, stair rails, elevator buttons and other surfaces (such as exercise equipment and classroom AV equipment). High traffic areas such as student housing, libraries, dining halls, bathrooms, locker rooms, as well as recreation centers also receive more cleanings. Additionally, Star Metro buses are cleaned daily and being deep cleaned weekly.

There is no vaccine to prevent this virus, and the CDC advises that the best way to prevent infection is to avoid being exposed to this virus. Here are everyday actions to help prevent the spread of respiratory viruses:

Wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer.
Avoid touching your eyes, nose, and mouth with unwashed hands.
Avoid close contact with people who are sick.
Stay home when you are sick.
Cover your cough or sneeze with a tissue, then throw the tissue in the trash.
Clean and disinfect frequently touched objects and surfaces.
If you have a respiratory illness or fever, please stay home. University administrators will work with the deans and faculty to accommodate students who are ill, and sick faculty and staff are urged to work with their dean, department head or supervisor to coordinate coverage of your responsibilities.

If you have spent time in an area with an alert in place, you will need to monitor your symptoms when you return. If during the past 14 days you feel sick with fever, cough or difficulty breathing, please do the following

Seek medical advice. Call ahead before going to a doctors office or emergency room. Tell them about your recent travel to an area with community spread of coronavirus, and your symptoms.
Avoid contact with others and do not travel while sick.
Avoid using public transportation if possible. University Health Services offers courtesy transportation to and from the University Health Center for students on the main campus only (main campus students may call the Medical Response Unit at 850-644-3349 to request courtesy",Florida State University
3-Mar-20,"The CDC recommends that travelers avoid all nonessential travel to China , Iran , Italy  and South Korea  while outbreaks of respiratory illness are ongoing. Travel to China, Iran, Italy or South Korea must be deemed essential and approved by the travelers university vice president in order to be processed. Travelers may not submit travel requests to China, Iran, Italy or South Korea and are not authorized to travel to these countries until further notice.

The CDC has also heightened its level of alert for Japan , which is currently at a Level 2 travel alert. FSU has suspended university-related faculty and staff travel to Level 2 countries, as well, without the approval of the travelers university vice president.

If you do visit any countries with the above warning levels or any affected area FSU strongly encourages you to self-quarantine for a period of 14 days when you return.

No cases of the virus have been reported at FSU, and the risk is considered low for the general public, but the university is being proactive. FSU is coordinating with the Leon County Health Department and the Florida Department of Health to review protocols in preparation for the possibility of a case here.

Contact university administrators with questions.

For faculty or staff matters related to this issue, please contact Tracey Pearson (staff) at 850-644-3694 or Rebecca Peterson (faculty) at 850-645-2202, both in the Office of Human Resources.

Students at our Florida campuses can contact the University Health Services (UHS) Administrative Office at 850-645-0620.

If you are an FSU student currently enrolled in one of our study abroad programs, please contact the Office of International Programs with any questions or concerns.


",Florida State University
4-Mar-20,"In order to better inform university employees of new warnings related to the COVID-19 coronavirus or other threats to their safety based on their location, effective immediately all future faculty/staff air and train travel, both domestic and international, must be booked through the Concur travel system.

Travelers who have already booked their travel should email their itineraries to plans@concur.com .

More information about Concur can be found on the Controllers Office website. Please contact travel@fsu.edu  with questions.

",Florida State University
10-Mar-20,"Florida State University has suspended ALL international university-related travel to prevent the potential spread of the coronavirus (COVID-19).   

International travel requests will require approval by a university vice president until further notice. ANY international travel must be deemed essential in order to be approved by the travelers vice president.  

Florida State University requests that all individuals who have traveled internationally for work or personal reasons to comply with new university guidelines, based on U.S. Centers for Disease Control & Prevention (CDC) recommendations:   

 Travel to CDC Level 2 &3 Countries and all Cruises: mandatory 14-day self-quarantine upon reentry into the United States  
The CDC and U.S. State Department strongly discourage all travel by cruise ships worldwide.    
If you travel to any other area with community transmission, contact the Division of Student Affairs or Department of Human Resources if you need to self-quarantine or self-isolate. Community transmission means that the source of infection for the spread of an illness is unknown. If it cannot be connected to travel, then it suggests that community transmission is occurring. 

Have a plan  
With spring break approaching, we strongly recommend you formulate a plan in case you are required to self-quarantine for a 14-day period for any reason (including illness, international and all cruise ship travel or close contact with a COVID-19 case).   

Your plan should include a possible quarantine location that is not a shared living space, residence hall or multi-occupancy apartment. 

All students should take all necessary academic course materials with them when they depart for spring break, in case they need to resume their spring courses remotely from home. 

FSU will continue to follow CDC, state and county health department guidelines, which means those who are required to self-quarantine, should practice social distancing as explained here: https://www.cdc.gov/coronavirus/2019-ncov/travelers/after-travel-precautions.html    

If a student needs to self-quarantine or self-isolate, the university has made plans for them to be able to continue with their coursework remotely.  

New FSU coronavirus webpage  
The university has created a new website to aggregate all the universitys coronavirus information, messaging and instructions. Please refer to fsu.edu/coronavirus for the latest official updates on coronavirus (COVID-19), including a list of Frequently Asked Questions (FAQ). The page will be updated frequently.  

The FSU Alert webpage will remain the online location for urgent emergency information and instructions. Continue to visit alerts.fsu.edu anytime the operational status of the university may be in question (e.g., severe weather or dangerous situations).  

University guidance for possible encounters with COVID-19  
No cases of the virus have been reported at FSU, but the university is being proactive to prevent the spread of COVID-19.   

If you have recently returned from travel to an event or location (e.g., a conference or other large gathering) where a potential novel coronavirus COVID-19 case occurred or was present, the U.S. Centers for Disease Control and Prevention (CDC) recommends self-quarantine only for individuals who were in close contact with a case of COVID-19. The CDC defines close contact as being within approximately 6 feet of a COVID-19 case for a prolonged period of time; or having direct contact with infectious secretions of a COVID-19 case (e.g., being coughed on).   

If you were NOT in close contact with a case of COVID-19, here are some reminders on what to do to keep yourself healthy:  

Avoid close contact with people who are sick.  
Avoid touching your eyes, nose, and mouth.  
Stay home when you are sick.  
Cover your cough or sneeze with a tissue, then throw the tissue in the trash.  
Clean and disinfect frequently touched objects and surfaces using a regular household cleaning spray or wipe.  
Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; and after blowing your nose, coughing, or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.  
If you WERE in close contact with a case of COVID-19, or during the next 14 days you feel sick with fever, cough or difficulty breathing, please do the following:  

Seek medical advice. Call ahead before going to a doctors office or emergency room. Tell them about your recent travel to an area with potential community spread of coronavirus, and your symptoms.  
Avoid contact with others and do not travel while sick.  
Avoid using public transportation if possible.  
Please notify the university if you self-quarantine or self-isolate   
Students who self-quarantine and need assistance should contact Tyler Shannon in Case Management Services, at tdshannon@fsu.edu  or 850-644-9561.   

As previously mentioned, if a student needs to self-quarantine or self-isolate, the university has made plans for them to be able to continue with their coursework remotely.  

For faculty or staff matters related to this issue, please contact Tracey Pearson (staff) at 850-644-3694 or Rebecca Peterson (faculty) at 850-645-2202, both in the Office of Human Resources.  ",Florida State University
12-Mar-20,Quarantining in general means the separation of a person or group of people reasonably believed to have been exposed to a communicable disease but are not yet symptomatic from others who have not been exposed to prevent the possible spread of the disease. Self-isolation means the separation of a person or group known or reasonably believed to be infected with a communicable disease and potentially infectious from those who are not infected to prevent spread of the disease.,Florida State University
12-Mar-20,"To combat the spread of the coronavirus, Florida State University officials have issued the following travel restrictions, which take effect immediately (Thursday, March 12, 2020).  

All university-sponsored domestic (U.S.) and international travel is canceled until further notice. 
All university-sponsored domestic travel that was previously approved by FSU Travel Services is canceled and must be reevaluated by your respective university vice president for reapproval. Only travel deemed essential by a university vice president will be reapproved. All other previously approved domestic travel is canceled.   
  Any new university sponsored domestic or international travel requests must be approved by a university vice president, who will determine if it is essential.    

The university strongly recommends all students, staff and faculty refrain from domestic and international travel except for emergency purposes.    
The university requires that all students, faculty and staff who have traveled anywhere internationally to self-quarantine for 14 days upon their return. 
Florida State University requests that students, faculty and staff avoid all cruise ship travel and ferry boat travel worldwide. The university requires all individuals who have been on a cruise ship or ferry boat to self-quarantine for 14 days upon reentry to the U.S.    
Students who travel outside the Tallahassee area and later return to their off-campus residences in Tallahassee should not return to nor visit campus for any reason until on-campus instruction resumes. This includes for use of the Leach Student Recreation Center, FSU Libraries, any Seminole Dining facilities, FSU Bookstores and Seminole Athletics venues/facilities.    
Students who choose to remain in the university residence halls on campus during spring break and during the period of online instruction will not be allowed to travel away from the Tallahassee area and come back to their residence hall or the main campus facilities until on-campus instruction resumes.    
These university restrictions and guidelines are based on recommendations from the U.S. Centers for Disease Control & Prevention (CDC), the U.S. Department of State, the Florida Department of Health and the Leon County Department of Health.     

Florida State University strongly recommends you draft a plan in case you are required to self-quarantine for a 14-day period for any reason.        

Your plan should include a possible quarantine location that is not a shared living space, residence hall or multi-occupancy apartment.    

If a student needs to self-quarantine or self-isolate, the university has made plans for them to be able to continue with their coursework remotely.    

Faculty and staff who need to self-quarantine should contact Human Resources to discuss available options.       

FSU will continue to follow CDC, state and county health department guidelines, which means those who are required to self-quarantine, should practice social distancing as explained here: https://www.cdc.gov/coronavirus/2019-ncov/travelers/after-travel-precautions.html       ",Florida State University
