link,date,content,school
https://www.ucf.edu/coronavirus/focusing-on-our-mission/,21-May-2020,"As we are all adjusting to the different realities of COVID-19, my attention has been on ensuring that UCF’s mission of serving our students, scholars and state continues unabated.

In navigating the uncertainties of the pandemic and focusing on achieving operational excellence across the institution, strong and consistent leadership of our academic enterprise will be crucial to our success. This will provide us stability during a time when change and uncertainty have become a new normal.

To help us move forward, I have asked Dr. Michael Johnson to serve as our interim provost and vice president for Academic Affairs for the next two years, anticipating that we would launch a national search no earlier than Fall 2021.

Dr. Johnson’s strong institutional knowledge has been invaluable as I have transitioned to UCF. He is a leader of the highest integrity who has earned the respect of those across campus during his 30-year tenure here.

As we continue to navigate the year ahead, Dr. Johnson will be an instrumental partner in creating positive change, strengthening our academic and research programs and providing leadership to enterprise-level initiatives that will make us more effective and transparent, such as the redesign of our budget model. Dr. Johnson also will help ensure that voices across the university — particularly those of our faculty — are more involved in decision-making.

Our institutional planning requires our best collective thinking to engage in creative and compelling ways that will help UCF emerge stronger.

I am appreciative of the teams across the university that have come together to help with our plans to move forward during the COVID-19 pandemic, as well as the active engagement from the Faculty Senate earlier this week, and the groups, such as departments’ Human Resources advisors, who have shared their questions and have provided guidance to our planning efforts.

As we plan for the slow return of faculty, staff and eventually our students to campus, in all of our decisions, we will continue to prioritize our community’s health and well-being and provide more opportunities for your input and questions before we share our plans with the Florida Board of Governors next month. We also will continue sharing more information on UCF’s evolving practices and protocols both via email and on the university’s coronavirus website.

Additional Leadership Updates
We will soon begin our national searches for our chief financial officer and chief operations officer, as well as a third national search for a new chief information officer coinciding with Dr. Joel Hartman’s retirement on July 1.

For all three searches, I am committed to an inclusive process with representation from across the university, including faculty, staff, students and administrators. I also hope to engage community leaders, alumni and partners who have expertise in these administrative areas.

A Culture of Inclusion and Diversity
Closely aligned with decisions on leadership and strengthening our operations is a focus on UCF’s culture, specifically our strong commitment to inclusion and diversity.

One of the reasons I was attracted to UCF is because of the great pride we take in the depth and breadth of the diversity among our employees and student body, which is approaching majority minority, as well as our Hispanic-serving designation.

One thing already is clear to me: We must have an executive at the highest level who is focused on how we can become more inclusive and diverse across our entire campus, including in our leadership roles, and in our connections to the community. I am working closely with our Interim Chief Equity, Inclusion and Diversity Officer Dr. Kent Butler to review the results of our recent campus climate survey and develop a high-level plan for investing in UCF’s inclusion and diversity initiatives.

As we continue to move forward, I will be sharing more information with you about our next steps for our open leadership searches and opportunities for us to engage digitally — all of which are geared toward helping UCF become even more exceptional in our academics, operations and service.

Thank you for your commitment to working together to “Charge On” through an unusual summer and in planning for a different type of fall.

All the best,

Alexander N. Cartwright, Ph.D.
President",University of Central Florida
https://www.ucf.edu/coronavirus/ucf-research-restarting-labs/,20-May-2020,"COVID-19 has impacted all of us in some way. The disruptions shut down most of our research operations in March, and I know you have been eagerly awaiting word on when you can get back. I appreciate your patience.

Since April, I have been working with a dedicated team of faculty researchers, administrators and others to put together a plan for you to return to your laboratories. The task force’s main objective was to keep everyone as safe as possible, while increasing research activity in a phased approach. We also adopted several principles to keep us focused on your needs. The phased approach enhances safety and also gives the university the flexibility to scale up or down as changes in the pandemic necessitate.

If you can conduct your research remotely, please continue to do so. For others, we will begin the phased return to laboratories tomorrow, Thursday, May 21.

There will be several things you need to do before you can walk into your lab. In addition to wearing face coverings while on campus, observing physical distancing and washing hands often, there are six steps to getting access and keeping access during this time.

The Basics
Everyone in your research lab must wear face coverings while on campus. This includes getting to and from your lab, inside your lab (in addition to any face coverings your research requires that you wear) and in any shared common spaces, including elevators. If your research team includes students, they too, must wear face coverings and remain 6 feet apart from each other, while also regularly washing hands after completing each task, and after touching doors and shared surfaces.

Limited Supplies
As you can imagine, personal protective equipment is in high demand. If you have the necessary face coverings for your team and cleaning supplies to ensure your lab is disinfected, we ask that you use those supplies first.

If you do not have what you need, please call 407-882-7111. UCF’s Department of Emergency Management, with support from Resource Management, is working to source PPE, track requests and disburse items based on need.

Because safety is our priority, you may not enter your lab until you can secure these basic items. With these supplies in hand, you can move onto the six steps to access your lab.

Six Steps for Lab Access
Receive authorization from your Associate Dean of Research to gain access to your lab. Authorization is based on the research activity tiers. Currently, limited activities in Tiers 1-4 have been authorized.
Complete required training. This includes any outstanding EHS training, as well as new training prepared specifically for COVID-19. Log in through EHS portal.
Plan and prepare written safety procedures for your lab, including how you will clean and disinfect areas. The procedures must be clearly displayed in the lab using the COVID-19 Laboratory Restart form.
Schedule no more than 1 person per 200-square-feet at any given time, unless there are different safety requirements. The same is true for personnel using any office space linked to your lab.
Keep a copy of the weekly schedule of all lab personnel to help track any potential exposure, should that become necessary.
All people entering the lab must complete daily check-in and check-out forms.
Human Subject Research
We did not forget about all of our researchers working with human subjects. Your work is equally important, but presents additional challenges amid this pandemic.

All research involving face-to-face interaction that could not be done via a different mechanism such as phone, Skype or Zoom was halted on April 10 because of the increased risk to the researchers and subjects. The temporary IRB protocol revisions are still in effect for now.

The task force is working with the Institutional Review Board to create an approach tailored to your needs. More information about the next steps will be coming soon.

We know these requirements may seem daunting, but they are necessary to help enhance your safety and the safety of those around you.

We trust that everyone will comply with these new requirements, but we are aware that there may be a few who decide to ignore or fail to follow the rules. We also understand that some of you may be uncomfortable speaking up in those circumstances. The Integrity Line at 1-855-877-6049 or ucfintegrityline.com offers an opportunity to share your concerns anonymously.

Please continue to pay attention to your email for additional updates from the Office of Research. Additional emails about broader return to campus plans, including policies about safety during COVID-19 and enforcement, will be coming soon.

You can find all the information pertaining to this announcement for lab researchers at corona.research.ucf.edu.

Rest assured we didn’t create this system to make life difficult. Restarting research is a unique challenge for all of us, and there are bound to be hiccups. I ask you for your continued patience as we move through this process. We created this system to keep you safe and let us all get back to one of our core missions at UCF — conducting research that makes an impact. Feel free to reach out to me if you have questions.

Thanks again for your patience, understanding and cooperation during these trying times.

Elizabeth Klonoff
Vice President for Research and Dean of the College of Graduate Studies",University of Central Florida
https://www.ucf.edu/coronavirus/our-return-to-campus-and-leadership-update/,13-May-2020,"As businesses and other entities across the state begin bringing back employees, UCF soon will as well, with a phased-in approach for faculty and staff returning to campus.

Since last month, teams from across the university have been working on what our return to the workplace, research labs, classrooms and campus life would look like. In all of our planning, we are prioritizing the safety of our entire campus community and following guidance from public health officials and Governor DeSantis’ plan for reopening Florida.

These measures will begin later this month for researchers who require access to their labs. They will receive detailed direction from the Office of Research with updates on how they and others will be able to operate in labs across campus and in the Central Florida Research Park. While it is critical that our research enterprise continues, we must do so safely with new procedures and physical distancing practices.

Over the next two weeks, campus leadership and supervisors will receive additional guidance for how we will pilot a slow return to work across campus beginning June 1. Working with your supervisor, individuals who are at a higher risk, have dependent-care responsibilities or can effectively work remotely can continue to do so.

More information about safety precautions, including educational trainings, wearing facial coverings, physical distancing, encouraging virtual meetings and increased cleanings of frequently touched surfaces, will be shared soon.

As we phase in our return to campus, we will remain vigilant through the summer and into the fall. Together, we will continue to adjust our practices based upon the latest available guidance from local and state officials, always with the goal of creating a safe environment for everyone at UCF.

Our teams continue to plan for how and when we will welcome back our students into classrooms, residence halls and campus activities and are working closely with the Florida Board of Governors. We hope to share decisions about the fall semester in June.

Leadership Updates
When I became president, I knew that managing the challenges from COVID-19 would be my No. 1 priority. I also believe that UCF’s long-term stability and success come from having strong leaders at every level of the university who empower everyone to perform to their highest potential.
We have been fortunate to have interim leaders who have helped the institution through the transitions of the past two years. It is time to begin building a permanent cabinet that will guide UCF’s future. The pandemic has proven it is more important than ever to focus on greater efficiencies and effectiveness in everything we do.

That is why we will be launching national searches for a chief financial officer and chief operations officer. Both will be critical to ensuring our operational excellence and helping us to strategically invest in the university’s academic enterprise moving forward.
More information about both searches will be shared soon. In the meantime, I am grateful to our interim CFO Joe Trubacz and interim COO Misty Shepherd for their continued leadership. I also appreciate the dedication and hard work of the people in each of their areas who have led UCF’s financial and administrative operations through a turbulent time.

Our people drive our greatness. The optimism and energy with which you face challenges demonstrate our strong commitment to our mission – even as the ways we work, teach and conduct our research change. I know UCF is full of talented and creative people who will continue to “Charge On” to new heights, building our future together.

All the best,

Alexander N. Cartwright, Ph.D.
President",University of Central Florida
https://www.ucf.edu/coronavirus/unionwest-summer-options-update/,13-May-2020,"We would like to thank you for your continued understanding and cooperation as UCF navigates COVID-19.

After careful consideration, UnionWest ownership has made the decision to reopen UnionWest student housing for the summer term, with additional precautions that prioritize residents’ health and safety. Correspondence from UnionWest ownership can be found here: Welcome Back Message from UnionWest Building Owner

Please let us know by Friday, May 15, what your plans are for this summer using the COVID Summer 2020 Plan form in the housing portal via myUCF. There are several options available to you that allow residents with summer contracts to return to UnionWest or to apply to receive financial assistance through UCF’s Managed Housing Summer Support Program if you are unable to return as a result of the pandemic.

Option 1: Returning
You will return for the summer and are able to do so starting immediately.

You will be responsible for summer rent payment per the terms and conditions of your housing agreement. Your original due date was May 22, but given these special circumstances, UCF will extend the deadline to June 5. A deferment will be placed on your account.

Additional health and safety measures will be in place with special accommodations to encourage social distancing. All common areas will be thoroughly and regularly cleaned, hand sanitizing stations will be added to public locations, and group gatherings will be limited. More information about personal protective measures will be shared soon.

Option 2: Not Returning, Retrieve Belongings
You will not return for summer and need to move out. UCF Housing and Residence Life will cancel the summer portion of your housing agreement in accordance with the terms and conditions of your housing agreement, and you will see additional information in the housing portal about retrieving your items in a safe and socially distanced manner.

You will be responsible for your rent payment per the terms and conditions of your housing agreement, but if you are not able to return for the summer and need continued relief and flexibility because of COVID-19, you can apply for UCF’s Managed Housing Summer Support Program, which will defer the billing of your summer rent and credit your account with funds you can use to pay your summer rent. UCF Housing will soon share more details about this process and how to apply. Summer 2020 housing is the only opportunity for this support; it will not extend into additional semesters should UCF’s period of remote instruction continue beyond the summer.

Option 3: Not Returning, Already Moved Out
You will not return for summer and have already moved out. UCF Housing and Residence Life will cancel the summer portion of your housing agreement in accordance with the terms and conditions of your agreement, and you will see additional information in the housing portal about the process for returning your keys.

You will be responsible for your rent per your housing agreement, but if you are not able to return for the summer and need continued relief and flexibility because of COVID-19, you can apply for UCF’s Managed Housing Summer Support Program, which will defer the billing of your summer rent and credit your account with funds you can use to pay your summer rent. UCF Housing will soon share more details about this process and how to apply. The Summer 2020 housing is the only opportunity for this support; it will not extend into additional semesters should UCF’s period of remote instruction continue beyond the summer.

Regardless of the option selected by existing residents, you are responsible for summer rent payment per your housing agreement. View housing frequently asked questions. UCF continues to share updates on the UCF coronavirus website. Additional questions about Housing can be directed to housing@ucf.edu.

UCF continues to operate under the assumption that face-to-face classes will resume in the fall, with social distancing and other protective measures in place that prioritize everyone’s safety. We know you have many questions about what campus life and housing will look like in the fall, and while we don’t have all of those answers right now, UCF is actively engaged in discussions about those services and activities.

Thank you for your cooperation as we work through these unprecedented times. We wish you continued health and success this summer and appreciate your patience.",University of Central Florida
https://www.ucf.edu/coronavirus/caps-extended-summer-service/,11-May-2020,"To continue to support our Knights during this challenging period of COVID-19, UCF’s Counseling and Psychological Services (CAPS) will extend its services to non-currently enrolled UCF students on a low fee for service basis starting May 11, 2020. CAPS Extended Summer Services will provide continuity of care and access to CAPS services for students when appropriate who, during normal circumstances, would not be able to access CAPS services. CAPS services will be available to the following groups from May 11 to August 7, 2020.

This program will help provide services to the following students who would typically not be able to access CAPS services:

UCF students who are not enrolled for the summer 2020 academic term, but were enrolled in spring 2020 and will be enrolled in Fall 2020.
Students who were enrolled and graduating Spring 2020; services will be extended until August 7, 2020.
Incoming UCF students who plan to begin in Fall 2020 and have completed orientation and course registration.
Please note that CAPS services may not apply to UCF students who are currently living out-of-state due to Florida licensing restrictions.

CAPS clinicians will provide single session therapy, initial assessments, individual counseling, group counseling and TAO treatment (Therapist Assisted Online) through telemental health for a fee ($30 for individual sessions; $15 for each group session; 5$ for TAO treatment session). Call CAPS at 407-823-2811 to see if you are eligible for CAPS Extended Services Program during COVID-19. Fees will be due at the time services are rendered.

During these challenging times, know that CAPS is here for you!",University of Central Florida
https://www.ucf.edu/coronavirus/keep-reaching-for-your-goals/,11-May-2020,"On this first day of our summer classes, we hope that you and your loved ones are safe and in good health. Whether this is your first day at UCF or you’re returning, we are so proud of you for continuing your studies this semester.

We know the past several months have been challenging, and we want to make sure you are provided with the resources to help you be successful during this time of remote learning and social distancing.

Virtual Services and Learning Resources
Many of our student support services are available remotely. From virtual advising and career coaching, to telehealth visits with physicians and telecounseling visits with counselors, to online workouts and virtual student organization meetings, these are services frequently paid for by your student fees, and we highly encourage you to use them to assist you on your path to reaching your academic, professional and personal goals.

UCF also has created several resources to help students with the transition to remote learning, including our Keep Learning website and these tips from a success coach about managing online courses and other tools that can help with your classwork.

If you need additional help in your courses, UCF’s Student Academic Resource Center is offering supplemental instruction, peer tutoring and academic coaching online.

May 19 CARES Deadline
We also understand that you and your families may have faced unexpected financial difficulties due to COVID-19, and UCF is here to support you. Starting in early June, UCF will distribute more than $25 million in aid to our eligible students who need it most thanks to federal funding from the “CARES” Act.

The aid is designed to help eligible students with the most urgent needs created by financial implications of the disruption of campus operations due to COVID-19.

Students have until 11:59 p.m. Tuesday, May 19, to apply for the aid here: https://tinyurl.com/UCF-CARES-ACT-Funding.

Students who do not meet the eligibility requirement for CARES Act funding may be eligible for other assistance and are encouraged to contact Student Care Services by emailing caremanager@ucf.edu.

Planning for the Fall
UCF continues to make plans for how we would welcome back students this fall, knowing that the ways we teach and interact will be different with social distancing and other protective measures that prioritize our university community’s safety.

We know you have many questions about what campus life will look like in the fall, and while we don’t have all of those answers right now, we are engaged in discussions about those services and activities, as well as what steps we will be taking to help keep our entire university community safe and to help you be the most successful in and outside the classroom.

In the weeks ahead, we will continue to share updates on the UCF coronavirus website. We encourage you to check this site — and your Knights email — frequently for new information.

Through it all, we remain committed to your well-being and success. We will continue to get through this together, and we wish you the very best this semester.

Charge On!

Maribeth Ehasz, Ph.D.
Vice President, Student Development and Enrollment Services",University of Central Florida
https://www.ucf.edu/coronavirus/reopening-of-northview-and-unionwest-for-summer/,10-May-2020,"We would like to thank you for your continued understanding and cooperation as UCF navigates COVID-19.

After careful consideration, UnionWest/NorthView ownership has made the decision to reopen UnionWest/NorthView housing for the summer term, with additional precautions that prioritize residents’ health and safety.

Please let us know by Wednesday, May 13, what your plans are for this summer using the COVID Summer Plan form in the housing portal via myUCF. There are several options available to you that allow residents with summer contracts to return to UnionWest/NorthView or to apply to receive financial assistance through UCF’s Managed Housing Summer Support Program if you are unable to return as a result of the pandemic.

Option 1: Returning
You will return for the summer and are able to do so starting immediately.

You will be responsible for summer rent payment. Your original due date was May 22, but given these special circumstances, UCF will extend the deadline to June 5. A deferment will be placed on your account.

Additional health and safety measures will be in place with special accommodations to encourage social distancing. All common areas will be thoroughly and regularly cleaned, hand sanitizing stations will be added to public locations and group gatherings will be limited. More information about personal protective measures will be shared soon.

Option 2: Cancel and Retrieve Belongings
You will not return for summer and need to move out. UCF Housing and Residence Life will then cancel the summer portion of your housing agreement, and you will see additional information in the housing portal about retrieving your items in a safe and socially distanced manner.

If you are not returning for the summer and need continued relief and flexibility because of COVID-19, you can apply for UCF’s Managed Housing Summer Support Program, which will defer the billing of your summer rent and credit your account with funds you can use to pay your summer rent. UCF Housing will soon share more details about this process and how to apply. This is the only opportunity for this support; it will not extend into additional semesters should UCF’s period of remote instruction continue beyond the summer.

Option 3: Cancel, Already Moved Out
You will not return for summer and have already moved out. Housing will cancel the summer portion of your housing agreement in accordance with the terms and conditions of your agreement, and you will see additional information in the housing portal about the process for returning your keys.

If you are not returning for the summer and need continued relief and flexibility because of COVID-19, you can apply for UCF’s Managed Housing Summer Support Program, which will defer the billing of your summer rent and credit your account with funds you can use to pay your summer rent. UCF Housing will soon share more details about this process and how to apply. This is the only opportunity for this support; it will not extend into additional semesters should UCF’s period of remote instruction continue beyond the summer.

View housing frequently asked questions. Updates will continue to be shared on the UCF coronavirus website. Additional questions about housing can be directed to housing@ucf.edu.

UCF continues to operate under the assumption that face-to-face classes will resume in the fall, with social distancing and other protective measures in place that prioritize everyone’s safety. We know you have many questions about what campus life and housing will look like in the fall, and while we don’t have all of those answers right now, UCF is actively engaged in discussions about those services and activities.

Thank you for your cooperation as we work through these unprecedented times. We wish you continued health and success this summer and appreciate your patience.",University of Central Florida
https://www.ucf.edu/coronavirus/housing-summer-update-for-northview-and-unionwest/,4-May-2020,"Thank you for your patience as we navigate the complexities of COVID-19. We’d like to let you know that NorthView and UnionWest at Creative Village will be open for residents over the summer. Students should not return yet and wait for further instructions that will be shared soon. UCF Housing and Residence Life is currently working with ownership regarding details on return dates and procedures, as well as the implementation of appropriate safety precautions. Additional communication with those instructions and details will be released in the coming weeks.",University of Central Florida
https://www.ucf.edu/coronavirus/ucf-housing-options-for-retrieving-your-belongings/,30-Apr-2020,"The message below has been sent out to residents of the Apollo, Libra, Hercules, Nike, Lake Claire, Neptune, Towers at Knights Plaza, and Rosen Communities who indicated they still have belongings in their spring room assignment:

Thank you once again for your patience as we all navigate the impact of COVID-19. Your safety remains our priority, and we will continue to make decisions about move-out with everyone’s health and well-being in mind. Below are the instructions for moving your belongings out of your room. There are three steps to follow, including two options for move-out. Please note that all key access has been deactivated and you must choose one of the below options to retrieve your belongings.

 

Step 1: Register your retrieval option in the Housing Portal (Open Now)
Log into the Housing Portal and click on the Belonging Retrieval Form to indicate the option you are choosing.

Option 1: I will schedule with Suddath, a third-party moving company, to pack and ship my belongings. I understand there is a charge for this service and that all scheduling, billing and details will be arranged directly with Suddath.

Option 2: I will schedule a move-out appointment with Housing to personally remove my belongings.

 

Step 2: Schedule Your Move
If you select Option 1, you will need to contact Suddath directly (using the Suddath resident move-out site) to arrange your moving appointment, billing and shipping arrangements.

If you select Option 2, you will choose a move-out appointment time in the Housing Portal beginning the week of May 4. We will send an additional email when the move-out appointments are available in the Housing Portal. Move-out appointments will take place from May 21 through June 17.

 

Step 3: Move out
Option 1: Moving Company (May 6 – 20)
Suddath will work during your scheduled appointment time to pack, store, ship or discard items as per your agreement with them. Suddath is not able to donate belongings on your behalf.

At the scheduled time, UCF DHRL staff will give Suddath access to the contracted room(s).
DHRL staff will be on-site in offices during the time Suddath staff is packing belongings.
Suddath staff will hold a video conference with the student during packing to ensure identification of the correct belongings.
All Suddath employees will be clearly identified via uniform and are Level 2 background checked, which means they have passed a state and national fingerprint-based check that considers disqualifying offenses for employees in positions of trust. UCF will not assume any costs or liability for lost or damaged items.
The average cost per resident will range between $200 and $265, excluding long-term storage fees and shipping distances. Charges will vary based on selected services.
Option 2: Move Out Appointment (May 21 – June 17)
You will return to campus during your scheduled appointment date and time to move your belongings out.

Appointments are 2 hours in length.
To maintain appropriate social distancing, you may bring no more than 2 additional individuals to assist.
Appointments are limited by building or floor to adhere with social distancing guidelines.
Safety measures will include stanchions and tape on ground for proper distancing.
We strongly recommend you bring your own masks and gloves.
Key return and express check-out will be a touch-free process.
You will only have access to your room on the day of your move out appointment.
DHRL staff will be on-site in offices during move out appointment times.
Dumpsters and donation locations will be available in all communities.
Thank you for your cooperation as we work through these unprecedented times. We wish you continued health and success. For questions, please respond to this email at housing@ucf.edu.",University of Central Florida
https://www.ucf.edu/coronavirus/help-for-employees-during-the-covid-19-crisis/,29-Apr-2020,"The past weeks have been difficult for all of us. COVID-19 has changed the ways that we work and live. Yesterday, President Cartwright wrote to us about some of the financial challenges the university is addressing. While UCF continues to plan next steps with everyone’s health and safety in mind, I want to address the personal hardships that many of you are facing now and offer some help.

I am thrilled to announce that our family of UCF employees answered the call for help and donated over 100,000 hours of personally accrued leave time to support our coworkers who have exhausted their own leave and are unable to work because of COVID-19.

Our faculty, who are working now to finish grading for the semester, have asked for a few more days to complete their donations. We are very happy to hear that there are more employees who want to help and have extended the donation window to May 11. We continue to gratefully accept donations at https://www.ucf.edu/lp/knights-care-leave-share/.

Many of us are working remotely and will continue to do so until further notice and pending conversations with our supervisors. Unfortunately, many UCF employees cannot work right now for a number of reasons including jobs that cannot be performed remotely, caring for children whose schools are closed, or the direct impact of a COVID-19 illness. For many of these employees, Emergency Paid Sick Leave will run out tomorrow, April 30.

For employees unable to work because of caring for a minor at home, I urge you to apply now for Emergency Family and Medical Leave: https://hr.ucf.edu/families-first-coronavirus-response-act/.

For leave-accruing employees who are unable to work because of COVID-19, your colleagues have generously provided for your support. Once you have exhausted your personally accrued leave, please request leave share at: https://www.ucf.edu/lp/knights-care-leave-share/

We are counting on supervisors and HR liaisons to help employees understand what leave they might be eligible to receive. HR has created a resource to help with this: https://hr.ucf.edu/files/COVID19-Leave-Options-at-a-Glance.pdf. Of course, your points of contacts in UCF Human Resources are always available to assist.

Finally, I want to remind you that UCF offers an excellent Employee Assistance Program (EAP) that provides a multitude of free resources, including information, training, counseling, and other forms of assistance and referrals to all non-student employees. I would encourage anyone wanting to better care for themselves or their family or who is uncertain about where to turn for emotional support to check out the EAP: https://HealthAdvocate.com/members.

As President Cartwright mentioned yesterday, we do not know for sure what the future holds for us as the university awaits future guidance from public health and government officials. We do know, however, that the UCF community will get through this together.

From the bottom of my heart, thank you for giving so generously and for working so hard to help each other and to serve our students. You make me proud to be a Knight.

Maureen Binder
Associate VP & Chief HR Officer
UCF Human Resources",University of Central Florida
