date,word_count,school,,,,
31-Jan-20,1043,Davis,,,,
1-Feb-20,68,Davis,,,,
3-Feb-20,162,Davis,,,,
7-Feb-20,40,Davis,,,,
10-Feb-20,30,Davis,,,,
13-Feb-20,61,Davis,,,,
25-Feb-20,82,Davis,,,,
27-Feb-20,74,Davis,,,,
27-Feb-20,105,Davis,,,,
27-Feb-20,78,Davis,,,,
27-Feb-20,81,Davis,,,,
28-Feb-20,165,Davis,,,,
29-Feb-20,27,Davis,,,,
29-Feb-20,212,Davis,,,,
29-Feb-20,136,Davis,,,,
5-Mar-20,100,Davis,,,,
6-Mar-20,78,Davis,,,,
6-Mar-20,63,Davis,,,,
6-Mar-20,115,Davis,,,,
6-Mar-20,57,Davis,,,,
7-Mar-20,123,Davis,,,,
7-Mar-20,119,Davis,,,,
9-Mar-20,50,Davis,,,,
10-Mar-20,106,Davis,,,,
11-Mar-20,85,Davis,,,,
11-Mar-20,79,Davis,,,,
12-Mar-20,91,Davis,,,,
12-Mar-20,106,Davis,,,,
13-Mar-20,274,Davis,,,,
13-Mar-20,53,Davis,,,,
14-Mar-20,222,Davis,,,,
15-Mar-20,208,Davis,,,,
16-Mar-20,219,Davis,,,,
17-Mar-20,46,Davis,,,,
17-Mar-20,160,Davis,,,,
17-Mar-20,70,Davis,,,,
18-Mar-20,86,Davis,,,,
18-Mar-20,54,Davis,,,,
18-Mar-20,66,Davis,,,,
19-Mar-20,75,Davis,,,,
19-Mar-20,32,Davis,,,,
25-Mar-20,49,Davis,,,,
1-Apr-20,151,Davis,,,,
7-Apr-20,84,Davis,,,,
10-Apr-20,1150,Davis,,,,
17-Apr-20,2661,Davis,,,,
24-Apr-20,1520,Davis,,,,
1-May-20,1464,Davis,,,,
