date,word_count,school,content
23-Jan-20,318,Los Angeles,"To the UCLA Community, As we approach the peak of the flu season, many of you may be experiencing flu-like symptoms or the common cold.  In addition, you may have come across news reports about a similar respiratory illness from Wuhan, China, called the 2019 novel coronavirus, or 2019-nCoV. While incidences of the common cold or the flu may be on the rise, we want to reassure the UCLA community that at this time, there are no known exposures to 2019-nCoV on campus. Additionally, according to the Centers for Disease Control and Prevention, the immediate health risk from 2019-nCoV to people in North America is considered low. We would also like to remind the Bruin community that there are simple precautions one can take to minimize the risk of contracting or spreading any respiratory viral illnesses. Those include regular hand-washing, coughing and sneezing into one’s sleeves, and staying up-to-date on immunizations and flu shots. The UCLA Arthur Ashe Student Health Center and UCLA Health infectious disease specialists recommend that any student experiencing a cough and a fever who has also recently traveled to Wuhan, or who has had contact with people from Wuhan with symptoms, call the center at (310) 206-6217. Students must call before showing up. UCLA faculty and staff in the same situation should contact their primary health care provider. Both the Arthur Ashe Student Health Center and the UCLA Health hospitals are well-prepared to care for patients with infectious diseases. UCLA is also working closely with the U.S. Centers for Disease Control and state and county public health officials to keep our campus healthy, and to keep you informed of significant new developments. More information about the coronavirus may be found at the CDC site. Information is also available at the World Health Organization. Dr. Daniel Uslan Clinical Chief of Infectious Diseases UCLA Health Dr. Nancy Holt Co-Executive Director, Interim Arthur Ashe Student Health Center"
31-Jan-20,434,Los Angeles,"To the Campus Community, As news coverage of the novel coronavirus (2019-nCoV) continues, we wanted to update you on UCLA’s response and preparedness efforts to keep the Bruin community safe. We also want to reassure you that there are currently no known exposures to 2019-nCoV on our campus or in UCLA Health hospitals and clinics. UCLA campus and health leaders, working in close partnership with the Los Angeles County Department of Public Health and the Centers for Disease Control, continue to monitor the situation closely and take measures to ensure the health and safety of the Bruin community. The new virus has caused understandable anxiety and concern, particularly in light of yesterday’s decision by the U.S. State Department has raised its travel advisory to level 4 for China (Do Not Travel) and the University of California Office of the President (UCOP) has requested all UC campuses to avoid all non-essential travel to China. Please also keep in mind, however, that there have been only two confirmed cases in Southern California, and the CDC believes that the risk to the general public is low. UCLA Health and the Ashe Student Health Center have highly-trained physicians, nurses and staff who are fully prepared to treat infectious diseases at UCLA. We also take this opportunity to remind you that, while the vast majority of the infections have occurred in Wuhan, China, we must not stigmatize anyone in our community based on their national origin. Someone who has a cough or a fever does not necessarily have coronavirus. Please also remember that the same standard health practices recommended to prevent the spread of influenza can also be used to prevent coronavirus, including: Remaining home if you are ill and being particularly careful to avoid large events and crowded areas Regularly and thoroughly washing your hands with soap and water Coughing and sneezing into your sleeve Staying up-to-date on immunizations and flu shots The UCLA Arthur Ashe Student Health Center and UCLA Health infectious disease specialists recommend that any student experiencing a cough and a fever who has also recently traveled to Wuhan, or who has had contact with people from Wuhan with symptoms, call the center at (310) 206-6217. Students must call before showing up. UCLA faculty and staff in the same situation should contact their primary health care provider. For daily updates on the coronavirus, please visit the CDC site. More information can be found in this FAQ from UCLA Health, and the World Health Organization. Dr. Daniel Uslan Clinical Chief of Infectious Diseases UCLA Health Dr. Nancy Holt Co-Executive Director, Interim Arthur Ashe Student Health Center"
4-Feb-20,402,Los Angeles,"Dear Colleagues: UCLA has developed a review and approval process to provide guidance to faculty and staff considering travel to China, in light of the novel coronavirus (2019-nCoV) outbreak. This comes as the U.S Department of State last week raised its travel advisory for China to its maximum level, urging U.S. citizens not to travel there due to the public health concerns posed by 2019-nCoV. Commercial airlines have also reduced or suspended routes to and from China, and late last week University of California President Janet Napolitano requested all UC campuses to temporarily “avoid all non-essential travel” to China (PDF). The UC Office of the President also asked all UC campuses to develop a review and approval process to determine whether travel to China is essential or can be postponed. While the UC restrictions apply only to university-related travel, those traveling for personal reasons should be mindful of travel risks and the federal government’s advisory. UCLA faculty and staff may send questions to info@irm.ucla.edu, a dedicated email account that is monitored by the UCLA Office of Insurance and Risk Management, and the central point of contact for questions about UCLA-related China travel restrictions specifically. APPROVAL PROCESS FOR FACULTY AND STAFF PRIOR TO TRAVEL In light of UC’s directive to avoid all non-essential travel, faculty or staff who would like to engage in essential travel to China will need to obtain prior approval. For faculty, essential travel is defined as that which is required to: preserve the safety of a research subject and which is not possible to be postponed; or preserve the results of a research activity and which is not possible to be postponed. Please be aware that educational conferences are not considered essential travel, even if you are a presenter. This is just one example of non-essential travel and does not include all other activities that would also be considered non-essential travel. To request approval to engage in essential travel, faculty should contact their deans in writing for approval. For staff: All staff must request an exemption as university-related staff travel to China is presumed postponable and therefore non-essential. To request an exception, staff should contact their department’s vice chancellor in writing. Such an exemption may only be approved by a vice chancellor. For more information about our campus plans for coronavirus preparedness, please visit the UCLA Bruins Safe Online website. Sincerely, Emily A. Carter Executive Vice Chancellor and Provost"
20-Feb-20,370,Los Angeles,"Dear Bruins: I am writing to advise on international travel plans in light of the global health concerns over the 2019 Novel Coronavirus (COVID-19). As we make plans for the upcoming spring break, I urge you to please keep in mind recent advisories by the U.S. State Department urging people not to travel to China in light of the COVID-19 outbreak, as well as the directive by the University of California Office of the President to avoid all non-essential travel to China. This is a difficult time for anyone planning or considering travel to China and other affected countries, especially for those hoping to visit family, or those who have long-awaited or time-sensitive travel plans. The severity of the outbreak has resulted in many extraordinary restrictions, including multiple commercial airlines suspending travel to China. If you plan on traveling outside of the United States, keep in mind that other countries could add or change travel restrictions without notice, flights may be canceled or new re-entry restrictions or quarantines could be imposed when returning to the United States. If you must travel outside the United States for spring break, please consider obtaining travel insurance — which is available through the UC Office of the President Travel Insurance website or the provider of your choice — and be sure to provide family and friends with your contact information. UCLA Residence halls will remain open over spring break for current residents unable to travel home. For students who would like additional guidance and information about travel restrictions and planning, please visit Bruins Safe Online. For students facing the emotional aspects of their travel decisions, such as worrying about family in the affected area or not being able to visit home, please contact UCLA Counseling and Psychological Services. We are here for you. Please also remember that even though the vast majority of the infections have occurred in Wuhan, China, we must not stigmatize anyone in our community based on appearance or national origin. Someone who has a cough or fever does not necessarily have COVID-19, although the same standard health practices recommended to prevent the spread of influenza can also be used to prevent COVID-19. For more information on these precautions and to learn more about UCLA’s preparedness, please visit the UCLA Arthur Ashe Student Health & Wellness Center website. Sincerely, Monroe Gorden Vice Chancellor Student Affairs"
27-Feb-20,220,Los Angeles,"Warning Level 3: Avoid all non-essential travel to this destination. The outbreak is of high risk to travelers and no precautions are available to protect against the identified increased risk. China South Korea Italy Iran Europe (See CDC page for comprehensive list) Alert Level 2: Practice enhanced precautions for this destination. The Travel Health Notice describes additional precautions added, or defines a specific at-risk population. Japan Global Special Precautions for High-Risk Travelers Watch Level 1: Practice usual precautions for this destination, as described in the Travel Health Notice and/or on the destination page. This includes being up-to-date on all recommended vaccines and practicing appropriate mosquito avoidance. Hong Kong AS OF 3/13/20 11:30 A.M., U.S. DEPARTMENT OF STATE TRAVEL ADVISORIES (CORONAVIRUS RELATED) Level 1 - Exercise Normal Precautions: This is the lowest advisory level for safety and security risk. There is some risk in any international travel. Conditions in other countries may differ from those in the United States and may change at any time. Level 2 - Exercise Increased Caution: Be aware of heightened risks to safety and security. The Department of State provides additional advice for travelers in these areas in the Travel Advisory. Conditions in any country may change at any time. Macau Travel Advisory Japan Travel Advisory Hong Kong Travel Advisory Level 3 - Reconsider Travel: Avoid travel due to serious risks to safety and security. The Department of State provides additional advice for travelers in these areas in the Travel Advisory. Conditions in any country may change at any time. South Korea Travel Advisory Mongolia Travel Advisory Italy Travel Advisory Azerbaijan Travel Advisory Turkmenistan Travel Advisory Israel, The West Bank and Gaza Travel Advisory Level 4 – Do Not Travel: This is the highest advisory level due to greater likelihood of life-threatening risks. During an emergency, the U.S. government may have very limited ability to provide assistance. The Department of State advises that U.S. citizens not travel to the country or to leave as soon as it is safe to do so. The Department of State provides additional advice for travelers in these areas in the Travel Advisory. Conditions in any country may change at any time."
2-Mar-20,402,Los Angeles,"To the Campus Community: Ongoing news about the Novel Coronavirus (COVID-19) is understandably creating concern and, although the risk to the general public is low, we wanted to keep you current on the latest information. While there have been no reported cases at UCLA so far, I want to remind you of some standard health practices that can prevent the spread of COVID-19, such as: Wash your hands frequently with soap and water or an alcohol-based hand sanitizer for at least 20 seconds Avoid touching your eyes, nose and mouth with unwashed hands Avoid close contact with people who are sick and stay home if you are sick Cover your cough or sneeze into your sleeve or a tissue, then throw the tissue in the trash There is currently no need to cancel classes or other events and UCLA continues to closely coordinate with federal, state and local public health officials so that our campus remains fully prepared. If you are considering travel, please also be sure to stay up to date on the latest travel advisories, which currently recommend avoiding nonessential travel to China, South Korea, Italy and Iran. Also keep in mind that other countries can always add or change travel restrictions, flights may be canceled, and new re-entry restrictions or quarantines could be imposed. Please be sure to provide family and friends with your itinerary and contact information before you travel. If you develop flu-like symptoms  fever, cough and difficulty breathing  and are concerned that you may have been exposed to COVID-19, seek medical attention. Students should call the Ashe Center Infection Control Line at 310-206-6217 and faculty and staff should call their health care providers. Please always call ahead before arriving. I know that anxieties can run high, but please avoid panic and stay educated. UCLA will continue to provide you with the most reliable and up-to-date information possible on the Novel Coronavirus (COVID-19) information page on UCLA Newsroom. We are also planning some upcoming forums to share information about our planning and preparedness, particularly for our students. Communities thrive when we all stay committed to each other’s well-being. We must never stigmatize anyone in our community based on national origin. Someone who has a cough or a fever does not necessarily have COVID-19. Science and common sense remain our best tools for successfully addressing this situation. Sincerely, Gene D. Block Chancellor"
4-Mar-20,635,Los Angeles,"To the Campus Community: As you may have seen, the Los Angeles County Department of Public Health announced this morning that there are additional confirmed cases of the Novel Coronavirus (COVID-19) in Los Angeles County. Given this news, I wanted to provide continued updates knowing this may cause anxiety among our Bruin community. First, there are no confirmed cases of COVID-19 at UCLA at this time. Second, we are working quickly to expand the use of existing remote teaching and learning tools available, by reaching out to faculty to offer technology support. These tools will include the ability to stream lectures via Zoom or BruinCast, create collaborative online spaces via Slack or UCLA Common Collaboration and Learning Environment (CCLE) and provide opportunities for remote test taking, if needed. There will be a separate message to faculty with more details. Also, we will begin to offer in-person informational meetings, starting today. Understanding that there is a lot of news and misinformation regarding COVID-19, we will host community meetings during which attendees can hear the facts about COVID-19 from medical experts, understand UCLA’s procedures for handling different scenarios and have an open forum to ask questions. We will hold these in-person informational meetings at various locations on campus, including on the Hill. Information concerning these meetings will be listed on the COVID-19 information page on UCLA Newsroom. For departments interested in coordinating a small group meeting, please contact UCLA Campus Human Resources at 310-794-0860. And lastly, as I shared in my message earlier this week, the best steps you can take to prevent the spread of COVID-19 include washing your hands frequently, containing coughs into a tissue or sleeve and staying home if you are sick, especially if you have a respiratory illness and fever. If you develop flu-like symptoms  fever, cough and difficulty breathing  and are concerned that you may have been exposed to COVID-19, seek medical attention. Students should call the Ashe Center Infection Control Line at 310-206-6217 and faculty and staff should call their health care providers. Please always call ahead before arriving. As always, emergency preparedness information can be found at Bruins Safe Online. We will continue to communicate regularly on this important topic. I know concerns may be high, and please know that the health and safety of our Bruin community is our top priority. I thank you for taking care of yourselves and each other. Sincerely, Gene D. Block"
5-Mar-20,223,Los Angeles,"To the Campus Community: We are writing to share updated travel guidance, given that the prevalence of the novel coronavirus (COVID-19) in the United States and internationally is changing rapidly. For international travel: UCLA prohibits official university travel to all regions with Level 3 Travel Warnings for coronavirus from the CDC: mainland China, South Korea, Italy and Iran. We strongly discourage personal travel to jurisdictions with Level 3 Travel Warnings. Any traveler arriving from these areas must self-isolate for 14 days from the time they left that country, in accordance with new guidance from the CDC. (This provision is retroactive to the last 14 days.) These requirements will also be imposed for any region the CDC raises to Level 3 for the coronavirus in the coming weeks. UCLA discourages all other nonessential international travel for now. If you decide to travel, be aware that other countries could change travel restrictions without notice, flights may be canceled or new re-entry restrictions could be imposed when returning to the United States. If you need to travel internationally: Consider obtaining travel insurance through the UC Office of the President Travel Insurance website or the provider of your choice. Stay informed about developments in your destination by monitoring the travel guidance provided by the CDC. Make sure your family and friends are aware of your plans and how to reach you. For domestic travelers: Use caution and judgment before any domestic travel, and check for the latest information before your trip. For large conferences and events: We are following the guidance of health officials and there is currently no recommendation to avoid attending large conferences on campus. However, we still urge you to use caution and judgment if you decide to attend large conferences. For incoming visitors to campus: Any visitor arriving to campus from a Level 3 jurisdiction (currently mainland China, South Korea, Italy and Iran), must also follow the CDC guidelines to self-isolate for 14 days since the date they left that country. This also applies to visitors who have been invited to campus by UCLA groups and programs. UCLA is taking measures to prevent the spread of COVID-19. Examples include: Installing hand sanitizer stations across campus, and in university-provided housing and dining area entries and on BruinBuses Cleaning restrooms and public areas with anti-viral, anti-bacterial chemical solutions Increasing frequency of cleaning in residential and dining area high-touch surfaces Employing electrostatic sprayer systems in high-use areas to disinfect around curved and hard-to-reach surfaces We want to reiterate that you can prevent the spread of COVID-19 by taking other precautions like washing your hands frequently and for at least 20 seconds, containing coughs into a tissue or sleeve, and staying home if you are sick, especially if you have a respiratory illness and fever. If you develop flu-like symptoms fever, cough and difficulty breathing and are concerned that you may have been exposed to COVID-19, seek medical attention. Students should call the Ashe Center Infection Control Line at 310-206-6217 and faculty and staff should call their health care providers. Please always call ahead before arriving. We encourage you to visit the COVID-19 information page on UCLA Newsroom, which is frequently updated with the latest guidance and resources. As always, emergency preparedness information and resources can be found at Bruins Safe Online. We will continue to work closely with public health officials and provide updates and community information sessions. Please also remember that UCLA is an inclusive and welcoming community, and we must not stigmatize anyone based on appearance or national origin. We recognize that there are concerns among the campus community and we remain grateful for the calm and thoughtful manner in which Bruins are caring for themselves and each other. Sincerely, Michael J. Beck Administrative Vice Chancellor Monroe Gorden, Jr. Vice Chancellor, Student Affairs"
6-Mar-20,495,Los Angeles,"We learned tonight that three UCLA students are being tested for COVID-19 by the Los Angeles County Department of Public Health (LACDPH). All three students are self-isolating off campus. To be clear, no one on the UCLA campus has tested positive for COVID-19. LACDPH has committed to expediting these tests for UCLA. As soon as we learn the results, we will inform you of any campus impacts. Understandably, some of you may be wondering about the status of classes and campus operations in general. We are actively monitoring and responding to the situation and will continue to follow the guidance of public health agencies. At this time, there have been no recommendations by LACDPH to suspend campus operations, including modifying class schedules. While situations like these often create uncertainty and concern, please be assured that the safety and well-being of the entire UCLA community remains our top priority, and we will continue to provide you with the most reliable and up-to-date information possible on UCLA’s COVID-19 website. If you develop flu-like symptoms, seek medical attention. Students should call the Ashe Center Infection Control Line at 310-206-6217 and faculty and staff should call their health care providers. Please always call ahead before arriving. As always, emergency preparedness information can be found at Bruins Safe Online. Sincerely, Gene D. Block Chancellor"
6-Mar-20,241,Los Angeles,"Dear Colleagues: In preparation for possible transition of classes to alternative delivery modalities as a result of the novel coronavirus COVID-19, we want to share with you some tools that are available to support academic continuity. UCLA has invested in additional software licenses and other technology that will aid you and your students to continue your instruction and learning. Please anticipate and prepare for the possibility that you may have to provide alternatives for access to lectures, discussion sections, office hours, remaining assignments, and final exams. A campus working group, chaired by Special Assistant for Online Initiatives and Professor of History Jan Reiff, has developed a resource document to assist faculty, including Geffen Academy teachers, to move instruction to an online environment should classes be disrupted by the impacts of COVID-19. While it does not cover all circumstances, nor does it apply to all classes, it does provide potential solutions to situations that might arise. The tools will also be available during the Spring quarter or during other circumstances when you or your students may not be able to attend class in person. Some of the tools we recommend include: Zoom, to let your students watch your lectures in real time, participate in discussion sections and review sessions, and work with other members of their project teams. We have procured additional licenses and made it easier to download the application and set it up. A limited number of laptops and iPads are available to loan to faculty who do not currently have equipment that supports Zoom or other online collaboration tools, and are not able to obtain them through their department or borrow from a colleague. BruinCast, to video stream and/or audio podcast regularly scheduled undergraduate lectures. UCLA Common Collaboration and Learning Environment (CCLE), to create class and collaboration websites where you can store course materials, assignments, and more. Respondus, to allow you to conduct your exams online. If you know that you have students in your class who require accommodation, please email contact@online.ucla.edu. We will provide you with solutions to meet those requirements or direct you to the individuals on campus who can answer your questions. Finally, if you are sick, please follow campus advice and call your health care provider to see if you should self-quarantine or make arrangements to be tested. If you are unable to come to campus, notify your department chair and communicate your absence to your TAs and students. If you are not sick, plan for the situation that some of your students might be unable to come to campus because they are ill or quarantined. We want to thank you all for your patience and support at this time. The UCLA community is committed to ensuring academic success and the safety and well-being of all Bruins. Sincerely, Emily A. Carter Executive Vice Chancellor and Provost Michael Meranze Chair, UCLA Academic Senate Publish Date: Friday, March 6, 2020"
