date,word_count,school
22-Jan-20,141,Riverside
28-Jan-20,900,Riverside
29-Jan-20,774,Riverside
30-Jan-20,337,Riverside
3-Feb-20,536,Riverside
4-Feb-20,490,Riverside
26-Feb-20,436,Riverside
27-Feb-20,57,Riverside
28-Feb-20,43,Riverside
3-Mar-20,262,Riverside
5-Mar-20,612,Riverside
5-Mar-20,1047,Riverside
6-Mar-20,571,Riverside
8-Mar-20,1143,Riverside
9-Mar-20,728,Riverside
10-Mar-20,990,Riverside
11-Mar-20,222,Riverside
11-Mar-20,968,Riverside
11-Mar-20,1428,Riverside
11-Mar-20,237,Riverside
12-Mar-20,1239,Riverside
12-Mar-20,783,Riverside
12-Mar-20,1163,Riverside
13-Mar-20,video,Riverside
13-Mar-20,136,Riverside
14-Mar-20,1138,Riverside
14-Mar-20,392,Riverside
15-Mar-20,611,Riverside
15-Mar-20,295,Riverside
16-Mar-20,395,Riverside
16-Mar-20,858,Riverside
17-Mar-20,685,Riverside
18-Mar-20,373,Riverside
18-Mar-20,101,Riverside
19-Mar-20,403,Riverside
19-Mar-20,156,Riverside
20-Mar-20,369,Riverside
24-Mar-20,164,Riverside
25-Mar-20,751,Riverside
26-Mar-20,432,Riverside
31-Mar-20,243,Riverside
2-Apr-20,101,Riverside
3-Apr-20,372,Riverside
3-Apr-20,380,Riverside
4-Apr-20,501,Riverside
6-Apr-20,404,Riverside
6-Apr-20,450,Riverside
7-Apr-20,246,Riverside
14-Apr-20,462,Riverside
15-Apr-20,188,Riverside
16-Apr-20,753,Riverside
21-Apr-20,354,Riverside
21-Apr-20,3930,Riverside
29-Apr-20,188,Riverside
4-May-20,200,Riverside
9-May-20,131,Riverside
