date,word_count,school,content
22-Jan-20,141,Riverside,"As you all may be aware, there have been reported cases of coronavirus from Wuhan City, China.   

According to the Center for Disease Control (CDC), these are a group of viruses that can cause a range of symptoms including a runny nose, cough, sore throat and fever. Some are mild, such as the common cold, while others are more likely to lead to pneumonia. They're usually spread through direct contact with an infected person. 

To that extent, for our UC Riverside students, the treatment is mainly supportive. Standard recommendations to prevent infection spread includes regular hand washing, covering mouth and nose when coughing and sneezing, and thoroughly cooking meat and eggs. 

Additionally, avoid close contact with anyone showing symptoms of respiratory illness such as coughing and sneezing. 

If you have any concerns,  please contact the UCR Student Health Center: (951) 827-3031."
28-Jan-20,900,Riverside,"To the Campus Community,
You may have seen news reports on the outbreak of pneumonia caused by a novel
coronavirus (2019-nCoV) originating from Wuhan, Hubei Province, China. Travel-related
cases have been reported in Japan, Australia, France, Thailand, and the United States. CDC is
conducting entry screenings of passengers on direct or connecting flights from Wuhan, China
at 5 major airports, including LAX. Recently the CDC, Los Angeles County Department of Public
Health and Orange County Health Care Agency have confirmed a positive case of 2019-nCoV.
The CDC has deployed teams to California to assist in clinical management, contact tracing,
and communications.
There are no known exposures in Riverside or the UC Riverside campus. UCR is working
closely with colleagues, clinical partners, and public health officials to actively monitor the
situation and prepare for potential cases. We realize there may be many questions about the
virus and its impact on our community. The FAQ below is intended to help answer basic
questions about the virus and UCR response.
If any member of the community suspects they have influenza or the Coronavirus, they should
stay home. There is some evidence that infected persons may still spread 2019-nCoV even if
they are not showing symptoms. Students should contact the Student Health Center at (951)
827-3031. Faculty, staff, and other UCR members should contact their primary medical
provider.
The Wuhan coronavirus outbreak comes, unsurprisingly, at a time of year when many of us
get run down and catch colds or the flu. While we have launched a screening process for the
novel coronavirus, it is a good time for everyone to refresh their memory on best health
practices to prevent the spread of any virus:
Always practice good hand hygiene. Wash your hands with soap and water frequently.
Avoid touching your eyes, nose, and mouth.
Cover your coughs and sneezes with a tissue and dispose of tissue in trash immediately.
Clean and disinfect surfaces and objects that may be contaminated with germs.
Get your annual flu vaccine.
The UCR campus will continue to operate as normal. Campus leadership along with public
health partners will continue to evaluate the situation and provide updates to the UCR
campus. Health advisories and new information will be shared via email and through the UCR
Student Health Services and Environmental Health & Safety websites."
29-Jan-20,774,Riverside,"Travel Restrictions For UCR Personnel
All non-essential domestic and international travel will be suspended, effective Monday, March 16 and until further notice.

Essential travel must be registered with UC Away. Travel booked through UC Connexxus are automatically registered with UC Away.  However, travel booked through other means (e.g., Expedia or directly through an airlines website) will need to be manually registered with UC Away.
We strongly advise students to refrain from personal, non-essential travel (both domestic and international) during spring break. UCR recommends all domestic personal travel be registered with UC Away.
Outbound Travel Plans
International Travel
All non-essential international travel is suspended
Essential University-related international travel must be registered with UC Away. If you are traveling for university-related business, please consider whether you can participate remotely (e.g., via online platforms or teleconference) or delay travel to a later date.
All essential university-related international travel to a country at travel warning level 3 or alert level 2 must request and receive advance written approval from within the cognizant organization/unit up to the Vice Chancellor or Dean, with final approval from the Provost and Executive Vice Chancellor. 
If you decide to travel outside of the United States, please be aware that the CDC may issue new international travel warnings without notice, potentially resulting in limited or delayed flights and possible quarantine upon re-entry.  Please ensure that your family and friends are aware of your travel plans and how to reach you.

Domestic Travel
All non-essential domestic travel is suspended.
Essential University-related domestic travel must be registered with UC Away. Travel booked through UC Connexxus are automatically registered with UC Away.  However, travel booked through other means (e.g., Expedia or directly through an airlines website) will need to be manually registered with UC Away.
The university strongly recommends that all personal domestic travel be registered with UC Away.
Inbound/Return Travel Plans
UC community members who are currently traveling on university-related business in a country designated with a CDC Warning  Level 2 and 3 Travel Notice should plan to immediately leave the area. Upon return, travelers from Level 3 countries, both for university-related business or personal travel, will likely be expected to quarantine for 14 days.  

UCR travelers will not be allowed to return to campus until after the quarantine ends.  Accordingly, faculty and staff should be in touch with their supervisors to determine measures for remote work. Similarly, students should be in contact with their instructors and academic advisors to identify appropriate measures to complete required assignments or tests.

UC Travel Insurance - COVID-19 FAQ's
The UC has arranged for employees and students traveling on official university business to be covered for a wide variety of accidents and incidents while away from the campus or primary workplace. Review the UC Travel Insurance Coverage for more information.

Who is Covered under the UC Travel Policy?
University travelers include employees, medical residents, students, fellows, and guests with travel paid by the University.  Personal travel such as vacation travel, is not covered by the UC Travel program.

How can I find out what is covered by the UC Travel policy?

The UC Travel generally covers emergency services, so routine health services would not be covered.  The most frequently used coverage is the accident medical and security extraction coverage.

With the COVID 19 crisis, the most common benefit used is the trip cancellation/interruption coverage. A summary of the benefits is located here: 

Student Travel Insurance Benefits
Staff/Faulty Travel Insurance Benefits

The benefits summary has an exclusion for bacterial or viral infection.  Is there coverage if I get sick due to Coronavirus and have to be hospitalized? 

Coverage decisions are made by the insurance carrier Chubb and we have been informed that Coronavirus is a medical condition, thus if the disease is contracted while traveling overseas under this policy the medical benefit coverage would respond. However, please note that Chubb would have to comply with the local quarantine protocols in such cases.  

How can I cancel my travel my registered trip?                                           

If your registered trip should be canceled and fees are incurred, complete the form below:

Employee Trip Cancellation/Interruption Claim Form
Student Trip Cancellation/Interruption Claim Form
What if I am stranded while traveling abroad?

United HealthCare Group (UHCG) can assist stranded travelers wanting to return home. Travelers should first work with travel agent/ airline directly to book a flight. If they are not able to obtain a flight back, UHCG will work directly with travelers: https://www.ucop.edu/risk-services-travel/_files/uc-travel-insurance/travel-assistance-services.pdf . Note, even if travelers did not previously register their UC Trip, they can still obtain assistance from UHCG."
30-Jan-20,337,Riverside,"As you know, UC is closely monitoring the dynamic developments regarding the 2019 Novel
coronavirus (2019-nCoV). Today, the United Nations World Health Organization declared a
global health emergency as the number of cases has continued to expand to more than a
dozen countries. Meanwhile, the U.S. Centers for Disease Control and Prevention (CDC) also
confirmed that the coronavirus has spread between two people in the United States, which is
the first instance of person-to-person transmission of the virus in this country.
The health and safety of our UC community is our No. 1 priority. To that end, following
both CDC and State Department guidance, I am directing the UC community to temporarily
avoid all non-essential travel to China, while it is designated with a Warning Level 3 Travel
Notice.
Each campus and medical center should take immediate steps to develop a review
and approval process to determine if travel to China is absolutely essential or if it
can be postponed.
In order to ensure the well-being and safety of those who must travel during this time, it is of
utmost importance that all faculty, staff, and students traveling abroad for University-related
purposes register their international travel with the UC International Travel Registry before
their expected departure and update this information as changes occur before and during
travel. Registration is an important step in reducing the risks of travelling abroad and helps
keeps the University community safe, especially in environments with heightened health risks
such as the coronavirus."
3-Feb-20,536,Riverside,"THOMAS SMITH (INTERIM PROVOST AND EXECUTIVE VICE CHANCELLOR) AND GERRY BOMOTTI (VICE CHANCELLOR AND CFO)
UCR faculty, staff and students should be aware that the U.S. Department of State issued its highest advisory level 4 alerting a do not travel to China due to the novel coronavirus on Jan. 31, 2020.

In addition, commercial airline carriers have reduced or suspended routes to and from China.

University of California President Napolitano directed the UC community to temporarily avoid all non-essential travel to China on Jan. 30, 2020.

The campus was required to develop a review and approval process to determine if travel to China is absolutely essential or if it can be postponed. UCRs prior review and approval process for travel to China is provided below.

University of California restrictions do not apply to travel that is solely personal-related, but such travelers should be aware of travel risks and of federal government warnings on any type of travel to/from China.

Approval Process Prior to Travel
All non-essential travel to China is restricted until further notice. All travelers who would like to engage in essential travel to China (defined in the following categories) must obtain prior approval as follows:

Faculty: Faculty essential travel is defined as that which is required to:

preserve the safety of a research subject and which is not possible to be postponed; or
preserve the results of a research activity and which is not possible to be postponed.
By way of comparison, faculty essential travel does not include travel to attend educational conferences. This is just one example of non-essential travel and does not include all other activities that would also be considered non-essential travel.

To request approval to engage in essential travel, faculty should contact their Dean in writing. Such travel may only be approved by one of the school Deans. The Deans may consult with the UCR Risk Management.

Staff: Staff travel is considered non-essential.

To request an exception to the determination that UCR-related travel to China for staff is non-essential, staff should contact in writing one of the following cognizant offices depending on where they are assigned organizationally: Chancellor (for staff in University Advancement, University Communications, Governmental & Community Relations, Office of Diversity, Equity & Inclusion, Office of Legal Affairs, Research and Economic Development, Student Affairs, and Chief Compliance Office); Executive Vice Chancellor & Provost; Deans; UCR Health CEO; or Vice Chancellor Planning, Budget & Administration. Such an exemption may only be approved by one of the University officials listed above. UCR Risk Management is available for consultation.

Students and Trainees (Clinical and Non-Clinical): Student and trainee essential travel is defined as that which is necessary to meet a graduation requirement and which is not possible to be postponed.

To request approval to engage in essential travel, students and trainees should contact in writing the Dean of their respective school or of the Graduate Division. Such essential travel may only be approved by the Dean of the relevant school or the Graduate Division.

Deans of the schools and the Graduate Division are responsible for ensuring that students and trainees are aware of this requirement, and Department Chairs/Directors are responsible for ensuring that their faculty are aware of and adhere to this requirement."
4-Feb-20,490,Riverside,"Dear Campus Community,
We would like to take this opportunity to make the campus aware of the universitys
response to the novel coronavirus (2019-nCoV), which is a situation that is evolving
daily. University leadership is in frequent contact with the UC Office of the President,
Riverside County Public Health, our fellow UC campuses, clinical partners, and elected
officials to monitor the situation, to ensure that all appropriate precautions are taken,
and to respond quickly and effectively as matters arise.
There are no confirmed 2019-nCoV cases in Riverside or the UC Riverside campus.
UCR Response
The Student Health Center has implemented a thorough screening process, along
with a dedicated Nurse line for remote consultations. Our Housing and Dining team
has increased the number of hand sanitizers on campus. Our Environmental Health &
Safety and Student Health teams are collaborating to raise awareness of best hygiene
and flu prevention practices. Moreover, our Risk Management team is working with
registered travelers to ensure their whereabouts and prepare for any needed changes
in their travel plans.
Travel Restrictions/Registration
In response to the U.S. Department of States level 4 travel advisory, University of
California President Janet Napolitano has directed the UC community to temporarily
avoid all non-essential travel to China. Please take a few moments to review the
details of UCRs response to the directive and how we are defining essential travel for
faculty, staff, and students.
We strongly recommend that all students and employees register their university
business travel with UC Away, in order to fully leverage the benefits and protections
in case an incident arises that requires medical care, evacuation, or other essential
services.
Appropriate Treatment of Fellow Students and Employees
During this critical time, it is imperative that all students, faculty, and staff uphold a
campus culture of respect. Despite any anxiety we may feel with regard to this health
scare, there is no justification for unwarranted mistreatment or discriminatory
behavior against others.
If any member of the campus community experiences mistreatment or is a witness to
this inappropriate behavior, students should make a report to
deanofstudents@ucr.edu, and employees should consult with their direct supervisor.
Importantly, UCR strives to reinforce a respectful, safe community through our
Principles of Community and student conduct policies.
Additional Information and Resources
Please continue to visit the Environmental Health & Safety website, which is being
updated often with new information, frequently asked questions, and best practices
to protect yourself. Please also take a few moments to review this video featuring
Brandon Brown, epidemiologist in the UCR School of Medicine, where he answers
common questions about coronavirus.
We will continue to update the campus community as new information becomes
available that may impact our students, faculty, and staff."
26-Feb-20,436,Riverside,"As you are aware, the University continues to monitor closely the continuing developments
regarding the coronavirus outbreak (COVID-19). This week, the U.S. Centers for Disease
Control and Prevention (CDC) issued a Warning  Level 3 Travel Notice for South Korea. In
addition, the CDC has listed other countries in both Asia and Europe where sustained
transmission of COVID-19 has transpired or where the virus has spread.
The health and well-being of our community remains our No. 1 priority. To that end, I think it
is necessary for us to take all of the precautions necessary in this fluid situation, erring on the
side of safety. Expanding on the directive I issued in late January, I am further directing the
UC community to temporarily avoid all non-essential, University-related travel to countries
that are designated with a CDC Warning  Level 3 Travel Notice. This currently includes
South Korea as well as China (excluding the Special Administrative Regions of Macau and
Hong Kong). For the latest information on travel warnings and UC-related updates, go to
ucal.us/coronavirus.
In addition, UC community members who are currently traveling on University-related
business in a country designated with a CDC Warning Level 3 Travel Notice should plan to
immediately leave the area unless their UC campus or medical center deems their travel to be
essential. Risk Services units at campuses and Medical Centers can help facilitate safe
departures and returns to campus as needed.
Again, it is of utmost importance that all faculty, staff, and students traveling abroad for
University-related purposes register their international travel with the UC International
Travel Registry before their expected departure and ensure they update this information as
changes occur before and during travel. Registration is an important step in reducing
the risks of traveling abroad while keeping the UC community safe, especially in
environments with heightened health risks such as COVID-19."
27-Feb-20,57,Riverside,"The University of California is vigilantly monitoring and responding to new information about the coronavirus (COVID-19) outbreak, which has been declared a global health emergency. UC will act in accordance with all applicable public health directives and UCs guidance, policies and regulations cannot conflict with public health orders."
28-Feb-20,43,Riverside,"Travel Health Notices inform travelers and clinicians about current health issues that impact travelers health, like disease outbreaks, special events or gatherings, and natural disasters, in specific international destinations.  See types of travel notices."
3-Mar-20,262,Riverside,"C Riverside Chancellor Kim A. Wilcox and interim Provost and Executive Vice Chancellor Thomas A. Smith shared an update Tuesday on how the campus is responding to the novel coronavirus (COVID-19). An FAQ below provides some additional information and links to resources.

Dear UCR Community,

We write to provide a broad update on UCRs efforts to address the novel coronavirus (COVID-19).  The health and safety of our community remains our top priority, and we are actively monitoring developments locally and abroad.

Presently, there are no confirmed cases in Riverside County, the city of Riverside, or the UC Riverside campus. The campus continues to operate normally.  

As noted in media coverage of COVID-19, this is a dynamic situation with COVID-19 infections significantly affecting several countries, including China, South Korea, Italy, and Iran.  As a result, the Centers for Disease Control (CDC), along with the UC Office of the President, have instituted travel guidance and proactive measures to prevent further spread of infection.  

Below this message, you will also find information about resources and UCRs efforts to address COVID-19.  With circumstances that appear to be changing on a regular basis, we ask that each member of the campus community stay informed about measures to prevent infection and regularly check the following website for the most up-to-date UCR information: https://ehs.ucr.edu/coronavirus.

Thank you for your efforts to help prevent infection; and for everyones continued commitment to maintaining a safe and respectful environment, consistent with our Principles of Community."
