date,word_count,school
24-Jan-20,414,Santa Cruz
30-Jan-20,382,Santa Cruz
31-Jan-20,338,Santa Cruz
4-Feb-20,1276,Santa Cruz
4-Feb-20,989,Santa Cruz
5-Feb-20,273,Santa Cruz
7-Feb-20,700,Santa Cruz
7-Feb-20,359,Santa Cruz
10-Feb-20,178,Santa Cruz
11-Feb-20,89,Santa Cruz
19-Feb-20,39,Santa Cruz
24-Feb-20,15,Santa Cruz
25-Feb-20,511,Santa Cruz
28-Feb-20,86,Santa Cruz
29-Feb-20,1237,Santa Cruz
2-Mar-20,144,Santa Cruz
4-Mar-20,490,Santa Cruz
5-Mar-20,930,Santa Cruz
6-Mar-20,1186,Santa Cruz
8-Mar-20,1018,Santa Cruz
9-Mar-20,481,Santa Cruz
9-Mar-20,1202,Santa Cruz
10-Mar-20,849,Santa Cruz
10-Mar-20,708,Santa Cruz
10-Mar-20,999,Santa Cruz
11-Mar-20,1206,Santa Cruz
13-Mar-20,906,Santa Cruz
13-Mar-20,1181,Santa Cruz
13-Mar-20,1095,Santa Cruz
13-Mar-20,417,Santa Cruz
15-Mar-20,483,Santa Cruz
16-Mar-20,1455,Santa Cruz
16-Mar-20,673,Santa Cruz
16-Mar-20,278,Santa Cruz
17-Mar-20,460,Santa Cruz
17-Mar-20,853,Santa Cruz
18-Mar-20,769,Santa Cruz
18-Mar-20,1530,Santa Cruz
20-Mar-20,903,Santa Cruz
20-Mar-20,1025,Santa Cruz
20-Mar-20,858,Santa Cruz
20-Mar-20,344,Santa Cruz
20-Mar-20,378,Santa Cruz
20-Mar-20,334,Santa Cruz
22-Mar-20,488,Santa Cruz
27-Mar-20,716,Santa Cruz
29-Mar-20,914,Santa Cruz
31-Mar-20,419,Santa Cruz
1-Apr-20,896,Santa Cruz
1-Apr-20,388,Santa Cruz
2-Apr-20,562,Santa Cruz
3-Apr-20,733,Santa Cruz
3-Apr-20,632,Santa Cruz
4-Apr-20,515,Santa Cruz
6-Apr-20,1092,Santa Cruz
9-Apr-20,691,Santa Cruz
10-Apr-20,403,Santa Cruz
10-Apr-20,209,Santa Cruz
10-Apr-20,976,Santa Cruz
12-Apr-20,450,Santa Cruz
14-Apr-20,162,Santa Cruz
17-Apr-20,506,Santa Cruz
24-Apr-20,237,Santa Cruz
27-Apr-20,472,Santa Cruz
1-May-20,876,Santa Cruz
4-May-20,403,Santa Cruz
4-May-20,1023,Santa Cruz
