link,date,content,school
https://www.unt.edu/notices/covid-19-testing-campus,18-May-2020,"Dear UNT community,

Denton County Public Health will be offering drive-thru COVID-19 testing at the Union Circle Garage, beginning Tuesday, May 19. The testing window is from 8 a.m. to noon and is scheduled for May 19 with additional campus testing dates slated for June.

Individuals must register by 5 p.m. today (Monday, May 18) in order to participate in tomorrow’s testing. Visit dentoncounty.gov/covid19testing for more information or to register.

UNT is proud to assist the DCPH Department in providing a location for the testing and thankful for the opportunity to do our part in supporting our community.",University of North Texas
https://www.unt.edu/notices/covid-19-update-33,15-May-2020,"Final COVID-19 Regular Update

Today’s edition of the COVID-19 Update is the final one in this form. On Monday, you will receive the first issue of UNT Today, which will be distributed three days per week during the summer, then daily with the start of the new academic year in August. UNT Today will provide news, information about events, and other campus updates and announcements delivered to your inbox each morning.

News regarding opening campus

There are five committees charged with managing the re-entry/recovery process. The leads from each of those committees will meet once a week and will act as an advisory group to the President and Cabinet. In addition, each Vice President will provide more detailed information to their division about their specific re-entry plans within the UNT System and university-level guidance. The committees are: academics, research, student life, facilities and operations, and health and safety. Additional information will be shared as plans are developed and finalized.

UNT Professor Jean Keller in the Department of Kinesiology, Health Promotion and Recreation and Tao Zhang, director of the Pediatric Movement and Physical Activity Laboratory, are participating in a collaborative research project with Scottish Rite for Children Hospital and several other local universities on the impact that social distancing and ""shelter-in-place"" has had on the activity levels of children across the U.S.

If you are caring for a child, please take a moment to complete this research survey, and share the survey with others via social media.

In an effort to keep our community as healthy as possible, UNT made the difficult decision to cancel all summer youth programs and camps that are offered on our campus and/or UNT programs hosted off-site. Our university is proud of the quality of the experiences our UNT summer camps provide to hundreds of youth every year, and we are saddened that we will not be able to welcome these young students and their families to our campus this summer.

f you coordinate one of the many youth summer camps, Nadia Guevara, Youth Protection Program director, will be reaching out with more information. You may email youthprotection@unt.edu for more information.

Going above and beyond: Stories from UNT’s COVID-19 response:

From Moe Elzonkoly, food service manager in the retail-dining department:

I would like to give a shout out to our full-time employees, especially our cooks, in the retail dining department AND in the residential dining department. Our full-time staff have been identified as essential and have worked hard to provide food for our staff and first responders while keeping them safe and happy. We are going above and beyond in all necessary areas – from cooking delicious food (OOOOHHH OUR FAMOUS MAC AND CHEESE) and sharing smiles to cleaning and sanitizing commonly used or touched areas. I am thankful and glad to be here with my UNT family, where it’s always about the food.

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.

Don’t forget that healthalerts.unt.edu is updated frequently with new information about how we are working together through this global health crisis.",University of North Texas
https://www.unt.edu/notices/covid-19-update-32,13-May-2020,"In an effort to keep our community as healthy as possible, UNT made the difficult decision to cancel all summer youth programs and camps that are offered on our campus and/or UNT programs hosted off-site. Our university is proud of the quality of the experiences our UNT summer camps provide to hundreds of youth every year, and we are saddened that we will not be able to welcome these young students and their families to our campus this summer.

If you coordinate one of the many youth summer camps, Nadia Guevara, Youth Protection Program director, will be reaching out with more information. You may email youthprotection@unt.edu for more information.

Student Health and Wellness Center (SHWC) Update:

The SHWC is available for students for all appointment reasons, without restrictions, including Walk-In STD testing. The hours are 8 a.m. to 5 p.m. Monday through Thursday and 9 a.m. to 5 p.m. Friday.
The SHWC has expanded its telemedicine visits with medical providers, psychiatric nurse practitioners, and the dietitian. Not all issues are appropriate for this type of visit, so call and check on specifics.
The SHWC has implemented new precautions to protect the health and safety of students and staff. One notable addition is a mobile nurse’s station on the first floor of Chestnut Hall to take patient temperatures and confirm students have some type of face covering before entering the reception area on the 2nd floor. All staff will be wearing either a cloth face covering or a mask and have their temperature monitored each day. We also have increased our already aggressive cleaning protocols for all areas and high-touch surfaces as well as installed several large sneeze guards throughout the clinic.
The SHWC Pharmacy is available for students and staff with regular hours and additional safety precautions mentioned above.
Most SHWC staff, minus a few administrative employees continuing to telecommute, are back in the clinic, ready to assist students with any healthcare related need.
The SHWC Meadows Center for Health Resources will remain closed for the immediate future.
When UNT’s Risk Management Services put out a call on campus for supplies for mask making efforts, departments generously responded by donating UNT bandanas and rally towels. Watch this video to see how the Wise Mask Makers, volunteer seamstresses from Wise County, are using the fabric to make more than 350 masks for the UNT community.

Don’t forget to follow the CDC’s recommendations and wear your cloth face coverings to help slow the spread of COVID-19 to keep yourself and others safe.

Dining and Retail Update:

Dining Services will keep this schedule through Sunday, May 24, and retail hours will remain unchanged through May 31. In addition, Kerr Dining Hall will be closed May 25-31. It will re-open June 1 for Summer 5W1 and plans are being made to re-open additional retail options as more faculty/staff return to campus.

Going above and beyond: Stories from UNT’s COVID-19 response:

From UNT Student Mehreen Mohsin:

Professor Krisstal Clayton in the Psychology Department at UNT is going above and beyond by providing wonderful resources to her students. She is there for us in these tough times, always willing to lend a listening ear or even a distraction for us if we are feeling too overwhelmed to talk about what is going on. Things are uneasy for all of us right now, even professors, who are also adjusting to changes to their teaching methods. When classes were taking place on campus, we would always look forward to Dr. Clayton’s class. Dr. Clayton always has made herself available to us not only as a professor, but also as a friend.

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.

Don’t forget that healthalerts.unt.edu is updated frequently with new information about how we are working together through this global health crisis.",University of North Texas
https://www.unt.edu/notices/covid-19-update-31,11-May-2020,"Have you been wearing a cloth face cover? According to the CDC, those who lack symptoms of COVID-19 can still transmit the virus. To help protect those around you, the CDC recommends you wear a cloth face covering in public settings when social distancing is difficult to maintain.

If you do wear a cover, make sure you clean it frequently. Per the CDC, face covers may be washed in a washing machine and tumble dry low. Covers made out of delicate materials may be hand washed instead: to do this, knead the fabric with warm, soapy water and then rinse. Allow the cover to dry on a sanitized surface.

Diversity and Inclusion in the Division of Institutional Equity and Diversity has partnered with the UNT System to provide all UNT World employees multiple online opportunities to explore diversity, equity, inclusion, and access.

Employees can engage with selected webinars from LinkedIn Learning, UNT Bridge, and Diversity and Inclusion’s new “Tele Talks” offerings and receive credit for participation upon completion of reflection questions. In addition to employee professional development, these resources serve as curricular enhancements for class discussions, syllabi, or other instructional tools.

The virtual resources serve as primers for Diversity and Inclusion’s in-person, interactive learning and development sessions, which will resume as soon as possible. To request services from UNT’s diversity and inclusion staff to facilitate classroom or other unit discussions using these resources, or an in-person training from their training inventory, visit https://edo.unt.edu/list-available-trainings or email diversity.inclusion@unt.edu.

Want to stay in the know? Follow @DiversityUNT on Twitter! Subscribe to the newsletter here.

Going above and beyond: Stories from UNT’s COVID-19 response:

From Stephanie Reinke, Ed.D., director of Lifelong Learning and Community Engagement:

Jordan Williams, senior communications specialist in Lifelong Learning and Community Engagement, has gone above and beyond to help keep members for the Osher Lifelong Learning Institute (OLLI) and the UNT Retiree Association both intellectually and socially engaged during the trying times of COVID-19.

Seniors are one of the most vulnerable populations when it comes to our current health crisis. Because of this, OLLI at UNT and UNTRA members are sheltering in place and not venturing out much at all. Jordan is keeping them intellectually stimulated by providing them with educational content that can be viewed from the safety of their own homes. He also is providing meaningful content through social media for them as well. He also has helped facilitate a Phone Pal program where OLLI at UNT Ambassadors call other members for friendly conversation. This program was created to help seniors who are feeling socially isolated.

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.",University of North Texas
https://www.unt.edu/notices/grade-reminder-you-can-begin-electing-changes-1-pm-today,11-May-2020,"Dear UNT undergraduate students,

We hope the end of your spring semester went well!

You can begin viewing your Spring 2020 grades on your unofficial transcripts via the my.UNT.edu student portal beginning the afternoon of Monday, May 11.

As a reminder, flexible grading options were made available for undergraduates during the Spring 2020 term. Specific information on Spring 2020 elections for Pass/No Pass grading is available on the Registrar's grading website at https://registrar.unt.edu/grades. Requests for flexible grade changes can be made until the end of the day on Thursday, May 14.

Again, we hope your spring semester went well, and we wish you continued success with your studies at UNT.

Sincerely,
Registrar Staff",University of North Texas
https://www.unt.edu/notices/covid-19-update-30,8-May-2020,"Join Rec Sports for 4 weeks as we ""Choose to Move"" our bodies for at least 30 minutes every day!

This program will include:

Daily physical activity recommendations and tracking
Weekly motivation and updates via email
Snack Stretches: every Monday at 1:30 p.m. Learn a little about healthy snacking at home while we take a quick 15-minute afternoon stretch break together
Well Talk Wednesdays: 11 to 11:30 a.m. Each week will focus on a new topic to help keep you and your family healthy and active while working from home
Family Fun Fridays: 10 to 10:30 a.m. A quick 30-minute activity session that can be done with the whole family

Links to register for the “Choose to Move” challenge for free can all be found HERE.
Focus on yourself. Learn and try something new. Accept the challenge and Choose to Move.

President Smatresk hosted a virtual Town Hall on Monday, May 4, with Provost Jennifer Cowley and VP of Student Affairs Elizabeth With. To read a recap of the event and watch the recording, please click here.

Going above and beyond: Stories from UNT’s COVID-19 response:

Wendy Middlemiss, Ph.D., associate professor of Educational Psychology, wrote with the following recognition:

Our University and College of Education house the state office for the Home Instruction of Parents of Preschool Youngsters (HIPPY). HIPPY is a home visiting program providing families with activities helping at-risk children gain school readiness skills. Our state office oversees 11 program sites stretching from the DFW area to the Rio Grande Valley.

For Adriana Trevino, our director, and Janie Rojas, assistant director, the stay-at-home orders were met with an all-encompassing question: “What happens to a home visiting program when you can't visit a home?”

Since mid-March, as districts and agencies closed their doors, Adriana and Janie spent hour upon hour answering that question for each of the 11 unique sites, often working well into the evening hours. They helped sites initiate plans for virtual home visits or home visits by phone for communities with limited Internet access. Our directors helped sites assure that their AmeriCorps-member home visitors remained in active status, and thus continued earning both an income and their education awards.

For Adriana and Janie, efforts to meet these program needs often paled in the face of finding ways of relieving the anxiety and stress experienced in each community. It is only because of their tireless dedication and hard work that HIPPY continues to provide for children’s educational needs and family well-being across our state.

To achieve these positive outcomes, Adriana and Janie attended numerous webinars learning the ins and outs of both HIPPY and AmeriCorps expectations. As well, they helped submit a federal planning grant proposal [which received approval and funding just this week] to help the program meet changing needs. Their efforts and hopefulness represent UNT’s community spirit in this time of need.

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.",University of North Texas
https://www.unt.edu/notices/covid-19-update-29,7-May-2020,"A UNT student reported a positive COVID-19 test to us from an off-campus clinic. That student is not currently on campus, and we are in the process of following our protocol to notify any individuals who may have come in contact with the student on campus.

We encourage anyone who is planning travel to register your trip with the university. This will allow the university to contact you in the event of a major emergency or changing circumstances related to your travel destination.

Going above and beyond: Stories from UNT’s COVID-19 response

Bridget O’Brien, assistant director of the Child Development Laboratory, would like to recognize Benjamin Hanisian for all of his hard work on the UNT Rec Sports “Keep Moving” Initiative. He is the assistant director of Departmental Marketing and Communications at Rec Sports and has done an excellent job migrating their fitness programs online and setting up their website to keep staff and students active, healthy, and involved; even from afar.

I feel he has gone above and beyond on this huge project, as he updates the site weekly with “Workout Plans of the Week,” which include a schedule of daily Zoom and YouTube Virtual Workout Classes (and even demonstration warm-up videos to watch beforehand!). He has made sure to post a variety of classes, times, and even suggestions for creative ways to adapt your workout at home, which is very inclusive and thoughtful of those with limited resources.

On top of this, he has an excellent social media presence on all platforms, including daily schedule reminders, motivational posts, and Instagram Live workouts.

His work on this project has given the university body a very comprehensive online fitness program that not only helps keep us active and motivated, but helps us feel connected to one another. This reliable, user-friendly resource has been very beneficial for me and many of my co-workers at UNT as we navigate working from home while trying to stay physically and mentally fit.

Many thanks to Ben and everyone working remotely from Rec Sports for all of their hard work!

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.",University of North Texas
https://www.unt.edu/notices/covid-19-update-28,6-May-2020,"President Smatresk hosted a virtual Town Hall on Monday, May 4, with Provost Jennifer Cowley and VP of Student Affairs Elizabeth With. To read a recap of the event and watch the recording, please click here.

Have you been wearing a cloth face cover? According to the CDC, those who lack symptoms of COVID-19 can still transmit the virus. To help protect those around you, the CDC recommends you wear a cloth face covering in public settings when social distancing is difficult to maintain.

If you do wear a cover, make sure you clean it frequently. Per the CDC, face covers may be washed in a washing machine and tumble dry low. Covers made out of delicate materials may be hand washed instead: to do this, knead the fabric with warm, soapy water and then rinse. Allow the cover to dry on a sanitized surface.

Going above and beyond: Stories from UNT’s COVID-19 response

Rob Pearson, personnel and leasing manager, submitted this shoutout from his unit:

The Facilities Department’s Personnel Office is fortunate to have Ellen Wall on its small staff. Not only did she provide outstanding and continuous feedback on the recent People Admin 2.0 rollout for the entire UNTS, but continues to provide exemplary services during the current telecommuting scenario.

As timekeeper, Ellen is regularly entering time for more than 125 technicians, groundskeepers and others who are rotating days working on campus and, due to the nature of their work, cannot telecommute. Her dedication continues to capture the admiration and support of the department’s leadership. Thank you, Ellen, for once again going above and beyond during these tumultuous times.

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.",University of North Texas
https://www.unt.edu/notices/covid-19-update-27,4-May-2020,"President Smatresk will be hosting a virtual Town Hall from 3 to 4:30 p.m. Monday, May 4, in order to share campus updates and answer questions.

You can watch and submit questions during the Town Hall by clicking here Monday. The president will share information about what to expect as the university works toward bringing us back together on campus, as well as talk about what is working well right now and what faculty, staff and students need help with to keep us moving forward.

If you want to submit a question in advance of the Town Hall, please email untpresident@unt.edu.

Have you visited UNT’s Diversity and Inclusion Virtual Training page yet? In addition to the curated webinars already available, UNT’s Diversity and Inclusion TeleTalks are now fully open for business!

Created in partnership with UNT’s Administrative Services and System’s Organizational Development and Engagement (ODE), these videos of Equity and Diversity Conference and Unlikely Allies experts facilitate active learning with quizzes in the learning management system for which all employees can receive professional development credit. Instructions are included for accessing these sessions. UNT faculty may contact diversity.inclusion@unt.edu or submit a training request to discuss using these resources in your curriculum.

Diversity and Inclusion thanks Ashley Reyes (Administrative Services) and Suzanne Gravois (ODE) for their innovation, teamwork and collaborative spirit in providing these valuable resources to UNT World. Want to stay in the know about upcoming diversity and inclusion efforts and other happenings in the Division of Institutional Equity and Diversity? Follow @DiversityUNT on Twitter and subscribe to the division’s newsletter Culture Connection here.

Avesta, Starbucks in the Union and Kerr Dining Hall will remain open (through the end of the semester) to UNT students and essential personnel who are on campus.

Hours vary so be sure to check www.dining.unt.edu/hours before heading over for your next drink or meal.

Going above and beyond: Stories from UNT’s COVID-19 response

From Hepi Wachter, Ph.D., professor and chair in the Department of Design in the College of Visual Arts and Design:

I feel CVAD’s fashion design programis going above and beyond as we wrap up the semester. Professors Trippeer, Chang, Gam and Otto had a lot to “lift” transferring the fashion design senior show. (In the past, we would have enjoyed a fashion show in the Union.)

They have all been working hard to ensure student success, and in particular, aid our seniors to navigate what will obviously be a challenging transition into the industry.

Since restrictions were enacted during spring break and all senior fashion show exhibition opportunities were moved online, the fashion program was quick to enact their own form of the innovation imperative, and as such they have been strategically preparing our seniors to enter the workforce and get their materials out into the public without “running the show.”

As of April 22, each fashion design senior has not only completed a full digital online web-based portfolio, but also set up full LinkedIn profiles that are actively being used to engage with the fashion design industry. In lieu of the mounted show, they are developing it on www.untfashiondesigngrads.com by mid-May.

After weeks of intensive training through mock interview sessions, both in one-on-one sessions and through peers as small groups, the students are now “ready” to test their materials and solicit additional industry feedback.

As of last week, every single student has completed at least one information interview (and perhaps a few more) through our industry alumni network, and associated industry contact list.

We have also done thorough training on how to maximize key job search engines which exist in open source format (such as LinkedIn networking and Google Grow’s new job search platform), as well as other primary sources for industry networking (WWD, BOF, Fashion United, and StykeCareers).

Rather serendipitously, this unique moment and perhaps positive fallout of COVID-19 has allowed us to put more stress on these modes of delivery, which are often used as communication platforms, and based on current restrictions, will continue to become key survival skills. We believe they will become part of the “new-normal.”

If you know of someone who is going above and beyond, please share their information with untpresident@unt.edu so we can give them a shoutout.

",University of North Texas
https://www.unt.edu/notices/president-s-virtual-town-hall-monday-may-4,2-May-2020,"President Smatresk will be hosting a virtual Town Hall from 3 to 4:30 p.m. Monday, May 4, in order to share campus updates and answer questions.

You can watch and submit questions during the virtual Town Hall by clicking here. Students can log into TEAMS with their UNT email (@unt.edu or @my.unt.edu) and password to access the Town Hall.
The president will share information about what to expect as the university works toward bringing us back together on campus, as well as talk about what is working well right now and what faculty, staff and students need help with to keep us moving forward.
If you want to submit a question in advance of the Town Hall, please email untpresident@unt.edu.",University of North Texas
