date,word_count,school,content
27-Jan-20,503,USF,"JANUARY 27, 2020COMMUNITY Dear USF students, faculty and staff, If you have been paying attention to world news lately you may have heard about coronavirus emerging in China, with some confirmed cases outside of China (including one in Washington state) linked to travelers. While the Center for Disease Control (CDC) considers this a serious public health concern, based on current information, the immediate health risk from 2019 coronavirus to the general American public is considered low at this time. To ensure you are informed, USF Student Health Services and our colleagues in USF Health are providing information to help educate you about the virus. To date, China has reported nearly 3,000 confirmed cases of this 2019 coronavirus infection. So far, 81 patients have died, with older age and underlying disease as co-factors. Cases are confirmed outside of China, with all linking to travelers from Wuhan. The first case in the United States, reported in Washington state, was recognized on January 20, 2020. The U.S. has started screening travelers arriving from China at several major airports. WHAT ARE THE SYMPTOMS? Patients with confirmed 2019 coronavirus infection generally experience a mild respiratory illness with symptoms of: fever cough shortness of breath Symptoms may appear in as few as two days or as long as 14 days after exposure. If untreated, the virus can cause pneumonia and, in severe cases, even death. HOW DOES IT SPREAD? Person-to-person spread is believed to occur via respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory pathogens spread. TIPS FOR PREVENTION Prevent the spread of respiratory viruses by following hand and respiratory hygiene and safe food practices: Wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer. Avoid touching your eyes, nose, and mouth with unwashed hands. Avoid close contact with people who are sick. Stay home when you are sick. Cover your cough or sneeze with a tissue, then throw the tissue in the trash. Clean and disinfect frequently touched objects and surfaces. IF YOU HAVE SYMPTOMS Keep in mind that this is the cold and flu season, so don't jump to conclusions that you have the coronavirus because you have the symptoms. If you are sick, make an appointment to see your doctor. Students should contact the following to make an appointment to see our health professionals: Tampa: Student Health Services (SHS100) at 813-974-2331 St. Petersburg: Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee: Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 If you are severely ill and cannot get to SHS or your doctor, call 911 or go to an emergency room at the local hospital. MORE INFORMATION For more information about the coronavirus, visit: Center for Disease Control and Prevention (CDC) World Health Organization (WHO) If you have any questions or concerns, please contact your medical provider. Regards, Joseph A. Puccio, MD, FAAP Executive Director, Student Health Services University of South Florida"
31-Jan-20,471,USF,"JANUARY 31, 2020COMMUNITY Dear USF community, Our University of South Florida leadership team is closely monitoring the latest information related to a novel coronavirus that originated in Wuhan, China, but has now spread to other parts of the world, including portions of the United States. At this time, no cases of the coronavirus have been reported in the state of Florida.  University officials have initiated communication, coordination and planning with local health departments using the most up-to-date information from state and federal health organizations. The U.S. Department of State and Centers for Disease Control and Prevention have now issued guidance advising Americans to avoid travel to China.  As such, out of an abundance of caution, USF is temporarily suspending all university-related travel to China for students and faculty.  No travel to this area will be authorized until further notice. Although no cases have been reported in Florida, USF Health and USF Student Health Services have provided important information about the virus, tips for prevention and other helpful resources. HOW DOES IT SPREAD? Person-to-person spread is believed to occur via respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory pathogens spread. TIPS FOR PREVENTION Prevent the spread of respiratory viruses by following hand and respiratory hygiene and safe food practices: Wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer. Avoid touching your eyes, nose, and mouth with unwashed hands. Avoid close contact with people who are sick. Stay home when you are sick. Cover your cough or sneeze with a tissue, then throw the tissue in the trash. Clean and disinfect frequently touched objects and surfaces. IF YOU HAVE SYMPTOMS Please keep in mind that this is the cold and flu season, so don't jump to conclusions that you have the coronavirus because you have the symptoms. If you are sick, make an appointment to see your doctor. Students should contact the following to make an appointment to see our health professionals: Tampa: Student Health Services (SHS100) at 813-974-2331 St. Petersburg: Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee: Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 If you are severely ill and cannot get to your doctor, call 911 or go to an emergency room at a local hospital. MORE INFORMATION For more information about the coronavirus, visit: Centers for Disease Control and Prevention World Health Organization Anyone with specific questions about upcoming university-related international travel should email Ben Chamberlain, USF World International Risk and Security Officer, or reach him by phone at (813) 974-3724.  More information about traveling internationally on USF business is available here. The university will continue to share additional updates with our community as necessary. Sincerely, Steven C. Currall President and Professor"
28-Feb-20,901,USF,"FEBRUARY 28, 2020COMMUNITY Dear USF community, The University of South Florida continues to closely monitor the evolving coronavirus (COVID-19) outbreak. The health and safety of our students, faculty and staff is our highest priority as university leaders work closely with local, state and federal agencies to share the most updated information. Currently, there are no confirmed cases of the virus in the state of Florida. The following information is intended to help inform travel plans in the coming weeks and provide guidance from USF Health experts. USF World international travel guidance USF will continue to follow guidelines from the U.S. Department of State and the Centers for Disease Control to assess the risk associated with the international destinations of USF travelers. Please be advised: the current situation is very fluid. Conditions can change rapidly in the country you are visiting and could impact your ability to re-enter the U.S. USF has processes in place to review planned international travel. Student travel to a U.S. Department of State Risk Level 3 or 4 location, or a CDC Level 3 location, is not permitted. Presently, China and South Korea fall into these categories. All student travel to these locations is currently prohibited. Given the current global conditions, USF is suspending all future faculty and staff business travel to U.S. Department of State Risk Level 4 locations, or CDC Level 3 locations until further notice. We expect faculty and staff adhere to travel guidelines determined by university policy and procedure, however deans and supervisors can further limit faculty or staff travel given heightened health and safety concerns. Faculty and staff are encouraged to consult with their dean or designated supervisor prior to scheduling any type of international travel for university business. At this time, all USF spring and summer study abroad programs in locations outside CDC Level 3 Advisory areas remain in place. Should it become necessary to cancel any programs, students and faculty will be contacted immediately. Before you travel, pay attention to the risk levels of any country you are visiting, understanding that risk assessments may change from day to day. Airports worldwide have set up, or are in the process of setting up, health-screening checkpoints for international passengers. At this time, anyone with a fever or other flu-like symptoms should not travel internationally, as they may be detained for further testing and observation. The International Air Transport Association has a continuously updated website for countries around the world that is a valuable resource for travelers. If you are outside the United States and need assistance, contact the USF World 24/7 International Assistance Line +1-813-317-5815 or by email. If you are concerned about the status of a future study abroad program, contact your Education Abroad Program Manager or you may reach out to James Pulos, Associate Director, USF Education Abroad. All students enrolled in education abroad programs have been contacted via email. Please be sure to check your email regularly for important communications. If you are a business traveler with questions about a planned overseas trip, contact Ben Chamberlain, Risk and Security Officer. HEALTH GUIDANCE For the general American public, the immediate health risk is currently low. Nonetheless, there is increasing concern that person-to-person spread will eventually occur more widely in the United States. Keep in mind that this is the cold and flu season, so you should not assume you have the coronavirus even if you have similar symptoms. If you are sick, stay home and make an appointment to see your doctor. Students should contact the following to make an appointment to see our health professionals: Tampa: Student Health Services (SHS100) at 813-974-2331 St. Petersburg: Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee: Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 If you are severely ill and cannot get to a doctor, call 911 or go to an emergency department at a local hospital. If you are returning from a country with coronavirus and you are requested to maintain 14 days of self-isolation, please contact Dr. Joseph Puccio, Executive Director of Student Health Services, at 813-974-0444. PREVENTION It is always a good idea to practice habits that help prevent disease, especially during cold and flu season: Obtain the influenza vaccine if you haven’t already. Avoid close contact with people who are sick. Regularly wash your hands for at least 20 seconds with soap and water, particularly if you have been in contact with someone who is sick. Use hand sanitizers with at least 60% alcohol content. Avoid touching your eyes, nose or mouth with unwashed hands. Cover your cough or sneeze with a tissue, then throw the tissue in the trash. Clean and disinfect frequently touched objects and surfaces. Should the coronavirus evolve to more directly impact the state of Florida or the Tampa Bay region, be assured that USF’s Emergency Management team and our university leadership have plans in place to adequately ensure appropriate response, coordination of resources and continuity of academic and business operations as necessary. For reliable, up-to-date information, visit: Florida Department of Health Centers for Disease Control and Prevention World Health Organization USF has also set up a dedicated website for updated information and resources. Please continue to check usf.edu/coronavirus for details. The health and well-being of our community is of utmost importance. We will continue to monitor this evolving situation closely and provide continued updates as needed. Sincerely, Steven C. Currall President and Professor"
2-Mar-20,544,USF,"Dear USF community, The University of South Florida continues to closely monitor the evolving global coronavirus (COVID-19) outbreak. The health and safety of our students, faculty and staff is our highest priority as university leaders work closely with local, state and federal agencies to share the most updated information and coordinate necessary responses. Continue to check this web page for the most up-to-date information. *NEW INFORMATION AS OF MONDAY, MARCH 2* There have now been two confirmed cases of coronavirus in Florida. There is no evidence to suggest that either of these cases has any connection to the USF community at this time. The Governor’s Office has now declared a State of Emergency for Florida, which provides additional guidance for state healthcare professionals. As of this date, the CDC has designated several countries as Risk Level 3. USF prohibits student, faculty and staff travel to these destinations. CDC risk assessments may change from day to day; check back frequently. The Florida Board of Governors has asked universities to cancel all university-sponsored travel to China, Iran, Italy, Japan and South Korea. Per the same communication, all faculty, employees and students who have traveled to these countries are being asked to return home and self-quarantine away from campus for 14 days. Recognizing that our USF community is looking forward to spring break, please be aware that the CDC is cautioning that individuals traveling abroad “may face unpredictable circumstances, travel restrictions, challenges returning home, or accessing health care while abroad.” USF leadership will release more detailed guidance regarding spring break Education Abroad programming in the coming days. PREVENTION AND RESOURCES Protect yourself and your community from COVID-19. Wash your hands frequently with soap and water for at least 20 seconds, especially after going to the bathroom, before eating, and after blowing your nose, coughing or sneezing. If soap and water are not available, use an alcohol-based hand sanitizer with at least 60% alcohol. Avoid close contact with people who are sick, and stay home when you are sick. Keep in mind that this is the cold and flu season, so you should not assume you have the coronavirus even if you have similar symptoms. If you are sick, stay home and make an appointment to see your doctor. Students should contact the following to make an appointment to see our health professionals: Tampa: Student Health Services (SHS100) at 813-974-2331 St. Petersburg: Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee: Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 If you are returning from a country with coronavirus and you are requested to maintain 14 days of self-isolation, please contact Dr. Joseph Puccio, Executive Director of Student Health Services, at 813-974-0444. If you are severely ill and cannot get to a doctor, call 911 or go to an emergency department at a local hospital. For reliable, up-to-date information, visit: Florida Department of Health Centers for Disease Control and Prevention World Health Organization University leadership, including experts from USF Health, USF World, USF Emergency Management and state and local government partners, are working closely to monitor the situation, coordinate resources, and ensure continuity of academic and business operations as necessary. We will continue to provide frequent updates. Check www.usf.edu/coronavirus for additional information. Sincerely, Steven C. Currall President and Professor"
11-Mar-20,787,USF,"MARCH 11, 2020COMMUNITY, FACULTY, STAFF, STUDENTS Dear USF community, In light of the continuing concerns about COVID-19 (coronavirus), I wish to share with you some important updates for our university community. These decisions have been informed by official directive from state leaders as we work to maintain the health and wellness of our campus and our communities within the state of Florida. REMOTE INSTRUCTION FOR COURSES As directed by the Florida Board of Governors, we will begin transitioning all of our classes to remote instruction for two weeks following spring break, March 23 through at least April 5. Students traveling for spring break next week should plan to not return to campus for at least two weeks following. Students who had not been planning to travel for spring break should make plans to return home, if possible. Although students are encouraged to remain off campus during this time, residential students who wish to remain in their residence halls may do so. If you have questions or need to make other arrangements, contact Housing and Residential Education at 813-974-0001 or housing@usf.edu. International students and foreign exchange students will receive further guidance from USF World. All classes and necessary support functions will continue remotely. USF has developed a myriad of tools, technologies, training and other resources to assist in this transition. Earlier this week, we rolled out a USF Toolkit for Instructional Continuity for faculty to assist with remote delivery preparations. We have also assembled a USF Toolkit for Continuity of Student Support to facilitate remote student access to important resources and services, such as counseling, advising, tutoring and other needs. While classes are moving to remote delivery, many normal university operations will continue, including Student Health Services, USF Health clinical operations and university administration and staff functions. If you have specific questions about your unit, contact your supervisor. CAMPUS OR UNIVERSITY-SPONSORED EVENTS At this time, all university-sponsored events on campus, at other USF instructional sites or off campus scheduled in the next 30 days must be postponed or canceled. Questions about a particular event should be directed to the appropriate vice president. Athletics events will be addressed in the near future. If you are considering live-streaming or recording events in lieu of offering them in person, please contact IT Services to determine feasibility and costs. Questions on financial impacts resulting from cancellation should be directed to BUSFIN-SRD@usf.edu. Questions on any legal matters can be directed to Gerard Solis at gsolis@usf.edu. These recommendations will be reevaluated on an ongoing basis and new guidance provided as needed. USF EMPLOYEE GUIDANCE At this point, all healthy USF employees are expected to maintain normal work operations, although some adjustments may need to be made on a case-by-case basis. If an employee is diagnosed with COVID-19 or is directed to self-isolate by a medical professional or public health official, the employee should notify their supervisor and follow official guidance for the duration of the isolation period. If anyone in self-isolation can and would like to continue working remotely, they may, with approval of their supervisor. Employees choosing to self-isolate out of concern for their health or the health of others must follow normal work rules, which cover sick leave, vacation or other leave policies. Leave should be requested from their supervisor. In the event that more extensive university closures are required, additional procedures may be developed to cover employees’ time off. Please contact USF Human Resources at 813-974-2970 or Employee-Relations@usf.edu with additional questions. HEALTH GUIDANCE Please continue to sanitize your workstations and personal spaces and continue to practice good hygiene. Wash your hands frequently with soap and water for at least 20 seconds, especially after going to the bathroom, before eating, and after blowing your nose, coughing or sneezing. If soap and water are not available, use an alcohol-based hand sanitizer with at least 60% alcohol. Avoid close contact with people who are sick, and stay home when you are sick. Faculty and staff who are concerned about their health should contact Dr. Lynette Menezes in USF Health at healthglobal@usf.edu. Students who need guidance or medical assistance should contact Student Health Services: Tampa Student Health Services (SHS100) at 813-974-2331 St Petersburg Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 The health and wellness of the USF community is always our first priority. We deeply appreciate your adaptability as we work to respond to the rapidly evolving COVID-19 pandemic. We will continue to monitor this situation, using guidance from our partners at the state and national levels, and provide additional updates as they are available. Please continue to refer to this website for the latest information and resources. Thank you, Steve Currall President and Professor"
11-Mar-20,314,USF,"MARCH 11, 2020PARENTS AND FAMILY The University of South Florida announced several operational changes on Wednesday, March 11, in light of continuing concerns about COVID-19 (coronavirus). The health and wellness of students, faculty and staff is USF’s first priority as university leaders work closely with local, state and federal agencies to monitor the coronavirus. As directed by the Florida Board of Governors, USF will join other state universities in transitioning all classes to remote instruction as soon as possible. For USF, fully remote instruction will begin March 23, following spring break. This will continue through at least April 5. Student support functions, such as counseling and advising, will continue remotely. While classes are moving to remote delivery, USF’s campuses will remain open and many normal university operations will continue, including Student Health Services and USF Health clinical operations. USF residence halls remain open, however, students are encouraged to remain off campus during this time, if other reasonable accommodations are possible. With spring break approaching, we recommend you discuss, as a family, what plans you have if your student is required to self-quarantine for a two-week period for any reason (including illness or travel to an affected area). Your plan should include a possible quarantine location other than a shared living space, such as a residence hall or multi-occupancy apartment. Should your student need to self-quarantine or self-isolate, the university has made plans for them to be able to continue with their coursework. For the next 30 days, all university-sponsored events on campus, at other USF instructional sites or off campus will be postponed or canceled. For details on athletic events, please visit the USF Athletics website for the most up-to-date information. USF will continue to evaluate the situation and new guidance will be provided as needed. The university community and public can continue to check this website for the latest information and resources available"
12-Mar-20,256,USF,"MARCH 12, 2020STUDENTS Dear USF Education Abroad Students on Faculty-Led Programs, I am sure all of you are aware, global concerns over the COVID-19/coronavirus have caused several governments, including our own, to restrict travel. Our students’ health and safety are our priority. Therefore, it is with great regret that we announce the cancelations of USF’s spring and summer faculty-led programming through July 31, 2020. USF will remove all study abroad program costs placed on your student account. We hope to have all of this completed within a 30-day period. Regarding purchased airfare, we recommend that you request a full refund of your airfare or a full credit for future travel from your chosen airline. All major U.S. airlines have now indicated they are willing to either refund the cost of your flight, or award you a full credit for you to use over the next year. Note: Due to the high volume of calls, airlines may not be able to immediately process requests for flights scheduled for later dates. Please be patient with this process. Obtaining a refund may take several weeks. Should you require further guidance, please contact the Education Abroad Gateway Office at (813) 974-5474. We know this news is disappointing. We hope that once the global public health crisis resolves, you will consider traveling abroad through USF again. If you have questions or concerns specific to your program, please contact your program manager directly. Reach out to our main e-mail for general questions or questions about airfare (EducationAbroad@usf.edu). Kind Regards, Education Abroad Office"
13-Mar-20,367,USF,"MARCH 13, 2020STUDENTS Dear USF students, The health and wellness of our community is of our highest priority, and YOU play an important role. As we leave for spring break, our students have been strongly directed not to return to campus until face-to-face classes resume, currently scheduled for April 6. The university took this drastic step with the hope of protecting the entire USF campus and our surrounding community, which includes many vulnerable populations, from the coronavirus. Limiting the numbers of people moving on and off the campus is an important step in reducing the potential for transmission of the COVID-19 virus. If there are students who do not have off-campus alternatives and must return to their residence halls, please be aware that services will be significantly limited, and certain amenities will not be offered, such as: Libraries will be closed. The Marshall Student Center in Tampa will be closed; the University Student Center in St. Petersburg will be open in order to offer limited dining, but there will be no events, social activities or other special services available. All campus recreation facilities and pools on all campuses will be closed. All residence hall lounges and community spaces will be closed. All university events, on or off campus, have been canceled. We will have limited dining hours and options. We will have a limited or suspended Bull-Runner schedule. If you do need to stay on campus, please practice social distancing. Do not put yourself in areas of large groups, and maintain at least 6-10 feet between people. Minimize your activity within and beyond the residence halls. Continue to practice good hygiene. This is a very fluid, dynamic situation. Please understand that the university’s circumstances could change at any time. We will continue to update you as the situation evolves. If you have any questions about your housing needs, please contact: housing@usf.edu for Tampa students or housing@usfsp.edu for St. Petersburg. If you have health-related questions, contact Student Health Services: Tampa: Student Health Services (SHS100) at 813-974-2331 St. Petersburg Wellness Center (SLC 2200) at 727-873-4422 Sarasota-Manatee Counseling and Wellness Center (5805 Bay Shore Rd.) at 941-487-4254 If you have other questions about the university’s response to COVID-19, contact: COVIDquestions@usf.edu."
13-Mar-20,243,USF,"MARCH 13, 2020FACULTY Dear Colleagues, I am writing with an important follow up to my previous communications regarding our responses to the evolving coronavirus (COVID-19) pandemic. As you are aware, following a Florida Board of Governors’ directive, we are transitioning all of our classes to remote instruction following Spring Break, beginning Monday March 23 through at least April 5. To support this swift transition, we have developed several critical resources, including a set of Frequently Asked Questions, a Faculty Toolkit for Instructional Continuity, and a Student Toolkit for Continuity of Support. The Frequently Asked Questions provide answers to many of the important questions we have received over the last few days. Please note that this is a living document and will be updated as we work to respond to your questions and the rapidly spreading virus. As a reminder, all courses must be transitioned and ready for remote instructional delivery beginning Monday, March 23. Faculty are provided with training opportunities to help leverage Canvas and other tools for remote instruction. Both face-to-face and live stream sessions will be offered on all three campuses throughout Spring Break. I strongly encourage you to sign-up at your earliest opportunity to ensure timely transition to remote class delivery. Most importantly, I want to thank you for your continuing dedication to the University of South Florida, and especially to the support of our students, during these challenging times. Best regards, Ralph C. Wilcox Provost and Executive Vice President"
15-Mar-20,364,USF,"MARCH 15, 2020COMMUNITY, FACULTY, STAFF, STUDENTS Dear USF community, Our leadership team continues to closely monitor the evolving dynamics of the COVID-19 pandemic and its impact on our community. As of March 15, the following encompasses the latest guidance from university leadership regarding remote work options. Expect regular updates as the situation evolves. While the university continues to be open and operational, supervisors are being asked to strongly encourage any employees (faculty, staff, OPS) who can work remotely to do so until at least April 6, when face-to-face classes are scheduled to resume. Employees must work with their supervisors to develop a plan that allows them to meet deliverables and maintain communication, productivity and efficiency. Employees whose job duties do not allow for remote work or who do not have necessary IT resources should talk to their supervisors about designing on- or off-campus work arrangements that will still fulfill their obligations without exposing undue risks to their own health and safety or that of the campus community. Healthcare-delivery employees, including USF Health clinical staff, Student Health Services staff and veterinary staff, are expected to report to work as usual unless they receive separate guidance from their supervisors. Employees whose personal situations prevent them from working, or who choose to self-isolate on their own accord away from work duties, may use one of the following types of time off, with supervisory approval: Accrued annual leave Accrued sick leave (if the employee or family member is ill) Unpaid leave Employees should contact their immediate supervisors as soon as possible once they know they will be unable to report to work to develop a plan. If an employee is diagnosed with COVID-19 or is directed to self-isolate by a medical professional or public health official, the employee should notify their supervisor and follow official guidance for the duration of the isolation period. If anyone in self-isolation can and would like to continue working remotely, they may, with approval of their supervisor. For additional questions and guidance, contact the Employee Relations department at employee-relations@usf.edu. For guidance with IT resources visit www.usf.edu/it-remote-resources. Find answers to frequently asked questions at www.usf.edu/coronavirus/faq.aspx or contact COVIDquestions@usf.edu. Sincerely, Steve Currall President and Professor"
