date,word_count,school,text
28-Feb-20,564,T_A&M_U,"February 28, 2020, 5:45 p.m. CST Dear Texas A&M community, Out of an abundance of caution, the University is canceling Spring Break trips to Italy for Texas A&M Education Abroad programs after authorities recommended travelers self-quarantine for two weeks. University leaders are following developments regarding the coronavirus, COVID-19, and will keep our campus community informed. Any students, faculty and staff traveling to Italy or any other country considered by the Centers for Disease Control and Prevention to be a level 3 risk for coronavirus are required to follow the guidelines to self-quarantine for two weeks, and not return to campus unless they are asymptomatic for that period. The level 3 warning urges people to avoid nonessential travel if the destination is an affected area. China and South Korea already were categorized as being at level 3, which put them on Texas A&M’s suspend-all-travel list. Aggieland low risk Please keep in mind that while COVID-19 is an epidemic in some parts of the world, the Department of State Health Services says that Texas is considered to be at low risk. Closer to home, the Brazos County Health Department considers Aggieland to be at low risk as well. At this time, the CDC and World Health Organization are not recommending canceling or postponing other worldwide travel. Therefore, the university is not canceling any other Education Abroad programs already underway or for those planning other trips over Spring Break. In the coming weeks, Texas A&M will arrange to refund trip costs for the approximately 30 students and faculty who planned to study abroad in Italy over Spring Break. Those impacted by this decision who need to make alternate housing arrangements over Spring Break, along with students who have questions related to the Education Abroad program, can email ea-covid19@tamu.edu. A&M planning well underway Texas A&M University is more than a month into planning for responding to whatever might come our way. A team of university officials continues to constantly monitor the outbreak of the fast-spreading respiratory illness worldwide. To assess potential risks related to the illness, the university is working with governmental agencies, professional health and security organizations, our academic partners and others. Texas A&M strongly recommends that everyone reconsider even personal travel to any country with a level 3 advisory based on the novel coronavirus. For countries at level 2 and 3, travelers will be required to self-quarantine for two weeks before returning to campus. We encourage you to monitor developments through the State Department and CDC websites. Students who are traveling should, in addition to taking recommended measures to prevent getting sick, take basic precautions to prepare for potential travel disruptions. We will need your help. A few easy things we can all do include: Wash your hands for 20 seconds Use hand sanitizer Avoid shaking hands  Disinfect frequently touched objects using a regular household cleaning spray or wipe stay home when you are sick and avoid close contact with those who are sick Avoid touching your eyes, nose and mouth. Texas A&M will continue to work with federal, state and local officials to monitor potential risks. If conditions change, we will update our campus community. Please check A&M Student Health Services website for updated information. You can find updated information about COVID-19 disease activity and recommendations at these sites: CDC: 2019 Novel Coronavirus WHO: Novel Coronavirus (2019-nCoV) Carol A. Fierke Provost and Executive Vice President"
2-Mar-20,669,T_A&M_U,"March 2, 2020, 7:55 p.m. CST Texas A&M University Guidance Related to the Coronavirus Disease, or COVID-19 Texas A&M University Guidance Related to the Coronavirus Disease, or COVID-19 As Texas A&M University continues to closely watch the spread of the coronavirus across the globe, we want to assure you all that the health and safety of our students, faculty and staff is our highest priority. To that end, today’s update relates to our students, faculty, staff and visitors who have visited areas affected by COVID-19, or the coronavirus. To date, no such cases have been reported in Brazos County, which is home to Aggieland. As we carefully track the Centers for Disease Control and Prevention Levels 1, 2 and 3 risk assessment for COVID-19, we are now implementing guidelines consistent with direction from The Texas A&M University System. Our regular updates can be found on the Texas A&M coronavirus page, also found on a button on the tamu.edu home page. As of March 2, 2020, the following countries are categorized as Level 1, 2 and 3 countries: Level 3: China, Iran, Italy and South Korea Level 2: Japan Level 1: Hong Kong Guidance on Returning to the United States Texas A&M-sponsored student groups currently returning from Level 2 or 3 countries should follow CDC guidelines by self-isolating at their family home or off-campus residence for 14 days. Should symptoms occur, seek immediate medical attention. Any student, faculty, staff or visitor traveling from or through Level 2 or Level 3 countries must self-isolate for a minimum of 14 days before returning to the Texas A&M campus. Guidance for International Travel Texas A&M is cancelling Texas A&M University-sponsored student education abroad spring programs to Level 1, 2 and 3 countries. For faculty and staff, only mission-critical travel to countries Level 1 or above will be considered and will require prior high-level institutional approval. Ongoing Actions To ensure the safety and security of Texas A&M students, faculty and staff, we are doing the following: We are sharing information with local, regional and state public health authorities and the Texas A&M University System administration to ensure the appropriate exchange and notification of timely information. Spring Break and personal travel: Texas A&M does not set requirements for personal travel, but we are strongly urging people to not travel to areas with active community transmission and/or Level 1, 2 or 3 countries. All travelers are encouraged to check the CDC’s COVID-19 travel page, State Department travel advisories, and the International Air Transport Association’s list of travel and entry restrictions for the latest information before departing. Regardless of personal or professional travel, all individuals visiting Level 2 or 3 countries will be required to undergo the 14-day self-isolation period before returning to campus. Note that if you leave the country, your trip may affect your ability to return to the United States and campus. During the 14 days of self-isolation, students should contact Student Health Services for updated guidance and requirements prior to returning to school or work. This continues to be a rapidly evolving situation and it is difficult to anticipate what the future may hold. We encourage you to monitor developments through the State Department and CDC websites. Students who are traveling should, in addition to taking recommended measures to prevent getting sick, take basic precautions to prepare for potential travel disruptions. A few easy things we can all do include: Wash your hands for 20 seconds Use hand sanitizer Avoid shaking hands Disinfect frequently touched objects using a regular household cleaning spray or wipe Stay home when you are sick and avoid close contact with those who are sick Avoid touching your eyes, nose and mouth. Texas A&M will continue to work with federal, state and local officials to monitor potential risks. If conditions change, we will update our campus community. Please check the Texas A&M University website for updated information. You can find updated information about COVID-19 disease activity and recommendations at these sites: CDC: 2019 Novel Coronavirus WHO: Novel Coronavirus (2019-nCoV)"
3-Mar-20,1099,T_A&M_U,"March 3, 2020, 5:45 p.m. CST Texas A&M continues to monitor the spread of the coronavirus, now known as COVID-19, as more cases are confirmed in the United States and other countries. We continue to use the best advice and guidance available from the Centers for Disease Control and Prevention, World Health Organization and the Texas Department of State Health Services. Texas A&M leadership from across the university is meeting regularly to discuss and review the rapidly evolving situation regarding the spread of COVID-19. We have activated the emergency operations plan and convened our response team to coordinate preparedness and response activities. At this time, no one within our campus community has tested positive for COVID-19. Nevertheless, we want to make sure our community is informed and follows preventative measures. Emergency Management on Campus The university is relying on local and state health officials, as well as members of the Texas Division of Emergency Management, Centers for Disease and Preparedness and the World Health Organization, to ensure a consistent and coordinated response. The university also is working with The Texas A&M University System and other institutions of higher education to ensure that issues related to campus communities are appropriately addressed. Administration leaders are actively planning for a range of scenarios and potential short- and longer-term impacts, with particular focus on the health and well-being of the university community, as well as on the continuity of university operations. Despite the rapidly changing nature of this situation, we are prepared to respond as necessary, including the activation of the university’s business continuity plan, which accounts for issues involving employment and instruction of our students. Student Health Services and the Departments of Student Affairs and Academic Affairs, along with many campus partners, all are paying close attention to this situation. Travel Advisory Update As we carefully track the CDC’s risk assessment for COVID-19, we continue to follow guidelines consistent with direction from The Texas A&M University System. Our regular updates can be found on the Texas A&M coronavirus page, also found on a button on the tamu.edu home page. As of March 3, 2020, the following are categorized by the CDC as Level 1, 2 and 3 countries: Level 3 COVID-19: China, Iran, Italy and South Korea Level 2 COVID-19: Japan Level 1 COVID-19: Hong Kong Guidance on Leaving & Returning to the United States All Texas A&M students, faculty, staff or visitors traveling to, from or through Level 2 or 3 COVID-19 risk countries must remain at their family home or off-campus residence for a minimum of 14 days before returning to the A&M campus. We highly recommend following CDC guidelines to self-isolate during this period. Should symptoms occur, seek immediate medical attention. Guidance for International Travel Texas A&M University-sponsored student education abroad spring programs for CDC-labeled Level 1, 2 and 3 COVID-19 countries have been cancelled. Other programs are scheduled to continue and will follow the same protocol should those countries move into any of these categories. For other countries, programs will be discontinued if the threat level increases. For faculty and staff, mission-critical travel to countries Level 1 or above will require high-level institutional approval prior to departure. What Does it Mean to Self-Isolate? If you are not experiencing any symptoms of COVID-19 and are asked to self-isolate after returning from a country listed on the CDC’s COVID-19 travel advisories page as Level 2 or Level 3, you should stay home — in your room, your apartment, or your house. Do not go to campus including work, classes, athletic events or other social gatherings until 14 days after leaving the Level 2 or 3 country in question. Likewise, avoid public places and gatherings in the community. Please follow these guidelines for self-isolation: Report any symptoms of COVID-19 immediately to your medical provider – preferably by calling to get advice and instructions. Texas A&M students and international visiting scholars may call (979) 458-8300. For after-hours contact/inquiries, call the Dial-a-Nurse program at (979) 458-8379. Stay in your room or apartment. Do not go to work, classes, athletic events, or other social or religious gatherings until 14 days after your return to the United States from the country in question. Limit contact as much as possible. This also means limiting close contact with others including persons living in your residence. Wash your hands with soap and water, or use alcohol-based hand rubs after coughing or sneezing or throwing a used tissue in the garbage. Avoid sharing household items. Do not share drinking glasses, towels, eating utensils, bedding, or any other items until you are no longer asked to self-isolate. Keep your surroundings clean. While the virus is not spread very well from contact with soiled household surfaces, try to clean surfaces that you share with others, such as door knobs, telephones, and bathroom surfaces (or any other object that you sneeze or cough on), with a standard household disinfectant wipe. Wash your hands after cleaning the area. Monitor yourself for symptoms at least daily including measuring your temperature. Any symptoms of COVID-19 should be reported to your physician. Cover coughs and sneezes with your upper sleeve or a tissue. Never cough in the direction of someone else. How to Protect Myself Stay educated on the disease by reading the CDC website. Most people who become infected experience a mild illness and recover, but it can be more severe for others. Take care of yourself by following recommendations from the CDC: Stay home if you don’t feel well. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance before arriving at a medical facility. Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water for 20 seconds. This helps kill viruses that might be on your hand. Stay at least three feet away from someone who is coughing or sneezing. Avoid touching eyes, nose and mouth. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. Follow good respiratory hygiene, which means covering your mouth and nose with your bent elbow or a tissue when you cough or sneeze. Dispose of the tissue immediately. Public Health Information Links on COVID-19 Centers for Disease Control and Prevention (CDC) Situation Summary WHO: Novel Coronavirus (2019-nCoV) Texas Department of State Health Services website Brazos County Health District website Texas A&M Student Health Services website Texas A&M International Student Services website Please consult this page for regular updates. Thank you for your input, suggestions and patience as we work together through these developments with the mission of taking care of each other."
6-Mar-20,533,T_A&M_U,"March 6, 2020, 4:30 p.m. CST Students, faculty and staff traveling on business or personal trips are required to register online Texas A&M has created a mandatory reporting portal for all students, faculty and staff traveling from or through any location that's been designated as Level 1, 2 or 3 by the CDC for COVID-19. The registration is required for both personal and university business travel before leaving or immediately upon return. In addition to logging online to register travel, individuals who traveled from or through a Level 2 or 3 country are required to self-isolate off-campus upon returning from those countries for 14 days before returning to campus. This is especially important as some on our campus are traveling over Spring Break. Please pass this new requirement along to friends and colleagues just in case they haven't yet heard. Self-isolation requires that you do not come to campus including work, residence halls, on-campus apartments, classes, athletic events or other social gatherings until 14 days without symptoms after leaving the Level 2 or 3 country in question. The 14-day clock starts on the day a person leaves one of those countries. Likewise, please avoid public places and gatherings in the community. For more information and guidance about how to self-isolate visit the coronavirus FAQ page. The University is working to accommodate the classes and work schedules for students and personnel who self-isolate or are ill. More information about these accommodations will be posted over the next week. Report any symptoms of COVID-19 immediately to your medical - provider preferably by calling to get advice and instructions. Texas A&M students and international visiting scholars may call (979) 458-8300. For after-hours contact/inquiries, call the Dial-a-Nurse program at (979) 458-8379. Travel Advisory Update As we carefully track the CDC's risk assessment for COVID-19, we continue to follow guidelines consistent with direction from The Texas A&M University System. Our regular updates can be found on the Texas A&M coronavirus page. There's also a button on the university home page. As of March 6, 2020, the CDC has identified these areas having a Level 2 and 3 for COVID-19 risk assessment. (Definitions for what each level means can be found on the CDC website), along with updated travel health notices. Texas A&M urges students, faculty and staff to avoid nonessential international and domestic travel and seek alternative ways to participate in conferences and professional meetings. For more information about international travel please go to the Travel Guidance section of the coronavirus FAQ page. Texas A&M leaders across campus continue to work with health officials regarding safely and effectively responding to potential COVID-19 cases. If you have any questions, please contact Help Desk Central anytime day or night, at 979-845-8300. If you are a student, faculty or staff member who is affiliated with a remote campus site (TAMU-Galveston, TAMU Qatar, Higher Education Center at McAllen, School of Law and all Health Science Center locations) please contact your campus administration for specific questions related to your campus. This situation is fluid and changing daily. The Texas A&M coronavirus website will be updated with new information as it becomes available. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
9-Mar-20,381,T_A&M_U,"March 9, 2020, 5:00 p.m. CDT Texas A&M Cancels University-sponsored Travel Outside the U.S. between March 16 - May 1 Dear Texas A&M University Community: As we continue to monitor coronavirus developments, please read the following updates: International Travel: Texas A&M is canceling university-sponsored travel outside of the United States between March 16, 2020 – May 1, 2020. Students, faculty and staff currently traveling abroad may continue to follow the same guidelines issued on March 6 which are noted below. Given the fluid nature of the situation, the university will make decisions about travel beyond May 1 in the weeks to come. Any mission-critical or health-critical exceptions must be approved in advance by senior administrators. Additionally, the university strongly encourages faculty, staff and students to refrain from all international travel during this time. All faculty, staff and students currently on international travel are subject to guidelines issued on March 6 which advise anyone returning from COVID-19 Level 1, 2 or 3 areas to self-isolate for 14 days before returning to campus. The reporting portal remains intact for students, faculty and staff currently on travel to, through or from any location that has been designated as Level 1, 2, or 3 by the CDC for COVID-19. No cases to date: There have been no cases of coronavirus reported at Texas A&M and no students who are presenting any symptoms, including those few individuals who returned from CDC Level 2 and 3 countries. Classes: Classes at Texas A&M will resume as scheduled on March 16. For the few students required to be in self-isolation, faculty are encouraged to assist them with virtual or online options to accommodate their ability to keep pace with the class. Events: As you may have heard, South by Southwest (SXSW) in Austin – an event with a large number of international participants – was canceled. Other events with more local or Texas participants remain scheduled. We recommend that university event planners consider the international participant composition and high-risk participants in determining whether to proceed with an event at this time. It is important to note that this situation is evolving and we will continue to review and post to this central site. Please continue to check the site for updates. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
10-Mar-20,706,T_A&M_U,"Updated: March 10, 2020, 6:20 p.m. CDT Texas A&M Classes Resume On March 18; Faculty And Staff As Planned On March 16 Dear Texas A&M University Community: Please be advised that classes will not resume until Wednesday, March 18 to allow for planning and logistics to ensure the provision of all university services in the most efficient, effective and safest way. Dining, health, counseling and other services will be available on a normal schedule Monday, March 16 and Tuesday, March 17. Transportation will run on the current Spring Break schedule. There are no plans at this time to cancel future classes beyond March 17. Texas A&M is not requiring that all courses move to an online format at this time. The university will continue to keep faculty, staff and students updated. Faculty will communicate with their students on changes. In addition, please check the university’s COVID-19 website for updates. Self-Isolation Self-isolation guidance continues as announced on March 6 with regard to travel to, from or through COVID-19 Levels 1, 2, and 3 areas. Self-Monitoring Students, faculty and staff who have travelled internationally to non- Level 1, 2 or 3 countries or those who have travelled domestically to other states are encouraged to self-monitor. According the CDC website, self-monitoring includes taking temperatures twice a day and remaining alert for cough or difficulty breathing. If you feel feverish or develop measured fever, cough, or difficulty breathing during the self-monitoring period, you should self-isolate, limit contact with others, and seek advice by telephone from a healthcare provider. Texas A&M students may call 979-458-8300. For after-hours contact/inquiries, call the Dial-a-Nurse program at 979-458-8379. Outbound International Travel: Texas A&M announced Monday that university-sponsored travel outside of the United States is prohibited between March 16 – May 1, 2020. Students, faculty and staff currently traveling abroad may continue to follow the same guidelines issued on March 6 which is noted below. Given the fluid nature of the situation, the university will make decisions about travel beyond May 1 in the weeks to come. Any mission-critical or health-critical exceptions must be approved in advance by senior administrators. Additionally, the university strongly encourages faculty, staff and students to refrain from all international travel during this time. All faculty, staff and students currently on international travel are subject to guidelines issued on March 6 which advise anyone returning from COVID-19 Level 1, 2 or 3 areas to self-isolate for 14 days before returning to campus. The reporting portal remains intact for students, faculty and staff currently on travel to, through or from any location that has been designated as Level 1, 2, or 3 by the CDC for COVID-19. No cases to date: There have been no cases of coronavirus reported at Texas A&M and no students who are presenting any symptoms, including those few individuals who returned from CDC Level 2 and 3 countries. Events: As you may have heard, South by Southwest (SXSW) in Austin – an event with a large number of international participants – was canceled. Other events with more local or Texas participants remain scheduled. We recommend that university event planners consider whether there is a large number of participants who are traveling internationally and/or are high-risk participants in determining whether to proceed with an event at this time. The Brazos County Health District issued guidelines from the CDC that strongly encourage event organizers and staff to prepare for the possibility of outbreaks in their communities. Hotline: The Department of State Health Services has opened a hotline at 1-877-570-9779. Questions can be emailed to coronavirus@dshs.texas.gov. Public Health Information Links on COVID-19 Centers for Disease Control and Prevention (CDC) Situation Summary WHO: Novel Coronavirus (2019-nCoV) Texas Department of State Health Services website Brazos County Health District website Texas A&M Student Health Services website Texas A&M International Student Services website Please consult the Texas A&M COVID-19 page for regular updates. Thank you for your input, suggestions and patience as we work together through these developments with the mission of taking care of each other. For the few students required to be in self-isolation, faculty are encouraged to assist them with virtual or online options to accommodate their ability to keep pace with the class. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
11-Mar-20,208,T_A&M_U,"March 11, 2020, 11:30 p.m. CDT Dear Texas A&M Community, Earlier this evening, the White House announced travel restrictions from 26 countries in the Schengen area of Europe to the United States that will go into effect this Friday, March 13. This does not apply to American citizens including those studying abroad, permanent U.S. residents, and others. Given this news prompted by COVID-19 concerns, Texas A&M is advising students, faculty and staff in this region to return to the United States. The Schengen area comprises 26 European states: Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, and Switzerland. The Schengen area of Europe does not include the United Kingdom. Any Texas A&M University faculty, staff or students in this region – whether on university-sponsored travel, third-party programs, and/or personal travel should register their travel on the university travel reporting portal. In addition, the university strongly urges these individuals to return to the United States. Anyone returning from this region must self-isolate for 14 days before returning to campus. For more information and FAQ’s, please go to the central COVID-19 website. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
12-Mar-20,749,T_A&M_U,"March 12, 2020, 5:00 p.m. CDT Classes Canceled March 16-20, Will Resume Online-Only March 23-April 28 Campus will remain open to faculty, staff and students. Texas A&M leadership will advise faculty members on all protocols in the days to come. Dear Texas A&M Community, Please find below a comprehensive list of updates today to include key information in line with System Guidance on: Class cancellation March 16 – 20 Online classes March 23 – April 28 New meetings and events guidance with maximum of 50 participants Guidance for self-monitoring (all) or self-isolation (Level 3 country travellers) New travel restrictions internationally and domestically Campus services and other information See details below. We will update this web page again tomorrow afternoon unless anything urgent changes in the interim. Classes Classes are canceled for the full week of March 16-20. This time will enable faculty, staff and student leaders to continue coordinated planning for the remainder of the semester. Classes will resume online only March 23 – April 28 (the last day of classes). The university will remain open to faculty, staff and students who choose to be on campus. A determination will be made in the coming weeks about the ability to hold final exams in person, as well as commencement. University leadership will advise faculty members on all protocols in the days to come, and will provide direction to individual classes before resuming classes on March 23. No undergraduate students will be required to be physically on campus but students are permitted to be on campus for services and facility usage in line with meetings cap numbers as outlined below. Graduate and professional students should contact their respective programs for guidance. Students conducting clinical activities or student teaching should consult your respective program leadership for guidance. Self-Monitoring vs. Self-Isolation Guidance and Guidance for International and Domestic Travel: As the United States is a COVID-Level 2 country, students, faculty and staff should follow self-monitoring protocols found in the Frequently Asked Questions section of this web page and on the CDC Care Guide. The same protocols are now applied to all Level 2 countries, be it traveling to, from, or through them. Any students, faculty or staff traveling from CDC Level 3 countries (including most of Europe) must self-isolate for 14 days before returning to campus and report travel on the travel reporting portal. Domestic travel is not required to be entered into the portal at this time. Self-isolation protocols can be found in the FAQ section and are also listed on the CDC Care Guide. No university travel is permitted domestically or internationally unless mission- critical or health-critical as approved by leadership. The university strongly discourages out-of-state and international personal travel. Only international travel should be recorded on the travel reporting portal. Housing: Dorms remain open to support students, with additional CDC-precautions in place for cleaning. Dining: Dining will remain open to support students. Transportation: Transportation will remain on the break schedule. Meetings and Events: Campus community meetings and events are now restricted to less than 50 participants. No participants from off campus (other than campus community members, such as with RELLIS or agencies) should join in-person meetings on campus, nor should any participants who travel from other states or countries. effective March 13 – April 3. Meeting rooms must have considerations for appropriate social distancing, also described on the FAQs. Campus Recruiting and Tours: No undergraduate or graduate on-campus recruiting and no campus tours will take place through April 3. Texas A&M Athletics: All intercollegiate competition is cancelled through March 30, 2020. Per SEC, all NCAA in-person official or unofficial recruitment activity is suspended through March 30 on or off campus. Student athletes should consult coaching leadership regarding training and practice. Precautions to Continue to Take: Wash your hands for 20 seconds Use hand sanitizer Avoid shaking hands Disinfect frequently touched objects using a regular household cleaning spray or wipe Stay home when you are sick and avoid close contact with those who are sick Avoid touching your eyes, nose and mouth. FAQ’s and this site will continue to be updated. Additional questions or needs can be routed to the IT Help Desk at (979) 845-8300 who will address issues or locate the correct support personnel. We greatly appreciate the support received from the entire Aggie Network as we work with health authorities and government officials to take necessary steps in support of the safety and education of Aggies and our surrounding communities. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
13-Mar-20,1572,T_A&M_U,"Updated: March 13, 2020, 5:45 p.m. CDT Dear Texas A&M Community, In the last week, it has been heartening to see the Aggie spirit alive as we work together to prepare and respond to this extraordinary circumstance. Below are the latest developments in Texas A&M’s response to the global outbreak of coronavirus disease (COVID-19). We will continue to update this central webpage with answers to Frequently Asked Questions, as well as other essential resources. Below is key information announced today, as well as critical information released earlier this week, which is in line with System Guidance: Faculty online training schedule Staff guidance for in-person and telecommuting March 16 –April 3 Campus services Classes Classes are canceled for the full week of March 16-20. This will enable faculty, staff and student leaders to continue coordinated planning for the remainder of the semester. Classes will resume online only March 23 – April 28 (the last day of classes). The university will remain open to faculty, staff and students who choose to be on campus. A determination will be made in the coming weeks about the ability to hold final exams in person, as well as commencement. No undergraduate students will be required to be physically on campus but students are permitted to be on campus for services and facility usage in line with meetings cap numbers as outlined below. Graduate and professional students should contact their respective programs for guidance. Students conducting clinical activities or student teaching should consult your respective program leadership for guidance. Self-Monitoring vs. Self-Isolation Guidance and Guidance for International and Domestic Travel: As the United States is a COVID-Level 2 country, students, faculty and staff should follow self-monitoring protocols found in the Frequently Asked Questions section of this web page and on the CDC Care Guide. The same protocols are now applied to all Level 2 countries, be it traveling to, from, or through them. Any students, faculty or staff traveling from CDC Level 3 countries (including most of Europe) must self-isolate for 14 days before returning to campus and report travel on the travel reporting portal. Domestic travel is not required to be entered into the portal at this time. Self-isolation protocols can be found in the FAQ section and are also listed on the CDC Care Guide. No university travel is permitted domestically or internationally unless mission- critical or health-critical as approved by leadership. The university strongly discourages out-of-state and international personal travel. Only international travel should be recorded on the travel reporting portal. Student Health Services: Texas A&M University’s Student Health Services (SHS) has activated a respiratory clinic with a separate dedicated entrance at the A.P. Beutel Health Center. All students need to pre-screen regardless of health concern, to decrease the spread of respiratory illness. To arrange a pre-screening, visit the Student Patient Portal. Faculty Guidance for Online Instruction: To facilitate the move to online instruction beginning March 23, 2020 there are several resources and training opportunities available on campus and via ZOOM next week. If you have graduate teaching assistants who would benefit from this information, please share with them. Log on to Keepteaching.tamu.edu which is a comprehensive resource to help move courses online. Please review this resource before you attend training sessions or seek walk-in support, as many of your questions may be answered by this resource. Additional Information: Each college is determining how to move lab classes online. Please consult with your Dean’s office. Clinical care in medicine, nursing, dentistry, pharmacy and Vet Med is authorized to continue, but please consult with your Dean’s office for additional information. Synchronous courses may be converted for asynchronous delivery. No additional curricular approvals are required for this semester. Any change to the course syllabus must be communicated in advance to students. Staff Guidance: The University will remain open to faculty, staff and students. To support University functions, the Division of Human Resources and Organizational Effectiveness outlined employee expectations in continuing to fulfill normal job duties. Department heads and managers are asked to follow the measures below: Communicate work expectations and provide guidance to employees in accordance with their unit’s business continuity plan. Employees unsure of their work expectations should consult with managers. Employees involved in clinical activities should consult your respective leadership for guidance. Maximize employee telecommuting or working from home, where feasible. Department heads can approve requests for Alternate Work Location (AWL). For job duties that must be performed onsite, managers are asked to implement safety precautions for all employees including: Minimizing employee contact Holding virtual meetings Practicing social distancing Offering virtual services, where possible Employees with risk-factors should consult with their supervisor about accommodations. In an effort to address a variety of employee inquiries that have resulted from recent University communications, the division of HROE is updating its website regularly with employment-related information concerning the COVID-19. Visit their website at https://employees.tamu.edu/COVID-19. All employment-related questions concerning the coronavirus, including the use of AWL duty or any type of leave, should be emailed to benefits@tamu.edu. Housing: While classes will move online starting March 23, the University will remain open, including all on-campus residence halls and apartments. We are open for any on- and off-campus resident who chooses to continue employment, use their dining plan, use WiFi and computing labs for completing online coursework, and otherwise have a successful semester. Residents who have traveled to a Level 3 CDC Travel country are required to report their travel and self-isolate off-campus for 14 days prior to returning to their on-campus residence. We strongly encourage anyone who is self-isolating to limit contact with others, including those living in their residence and pets. Residents who are required to self-isolate are welcome to return to their room or apartment after completing their 14-day isolation period with no symptoms of coronavirus. Department of Residence Life Leadership Team is discussing t We have been asked if students can cancel their on-campus housing contract for the rest of the semester and whether there will be any refunds. This unprecedented situation and will communicate decisions as soon as possible. For now, we just want residents to know that they do have a place to live on campus if they choose to return. Dining: Dining will remain open to support students. Transportation: Transportation will remain on the break schedule. Meetings and Events: Campus community meetings and events are now restricted to less than 50 participants. Meeting rooms must have considerations for appropriate social distancing, also described on the FAQs. No participants from off campus (other than campus community members, such as with RELLIS or agencies) should join in-person meetings on campus, nor should any participants who travel from other states or countries. effective March 13 – April 3. Campus Recruiting and Tours: No undergraduate or graduate on-campus recruiting and no campus tours will take place through April 3. Texas A&M Athletics: The Southeastern Conference announced that all athletics activities, including competitions, team and individual practices, meetings and other organized gatherings, will be suspended through at least April 15, due to continuing developments related to the coronavirus (COVID-19). The SEC had previously announced that all competition was suspended until March 30. That suspension of competition has been extended through April 15 and now includes all organized team activities. Texas A&M will follow the new guidelines. SEC athletics programs will cease practices, individual and team workouts effective the end of the day Friday, March 13. Team meetings shall conclude no later than 5 pm local time on Monday, March 16. SEC member institutions will continue to provide their student-athletes with care and support to meet needs in areas including academics, medical care, mental health and wellness, nutrition and housing as needed. Precautions to Continue to Take: Wash your hands for 20 seconds Use hand sanitizer Avoid shaking hands Disinfect frequently touched objects using a regular household cleaning spray or wipe Stay home when you are sick and avoid close contact with those who are sick Avoid touching your eyes, nose and mouth. Other Information: The Bush Library and Museum will be closed effective Saturday, March 14. The National Archives and Records Administration directed all its museums and research rooms nationwide. NARA Staff will continue to serve the public remotely by responding to all phone calls and email requests to info.bush@nara.gov. The Bush Family Gravesite and the museum grounds will continue to be open to the public until further notice. FAQ’s and this site will continue to be updated. Additional questions or needs can be routed to the IT Help Desk at (979) 845-8300 who will address issues or locate the correct support personnel. We greatly appreciate the support received from the entire Aggie Network as we work with health authorities and government officials to take necessary steps in support of the safety and education of Aggies and our surrounding communities. Carol A. Fierke Texas A&M University Provost and Executive Vice President"
14-Mar-20,196,T_A&M_U,"March 14, 2020, 4:55 p.m. CDT Student Worker Guidance Dear Students, Faculty and Staff, The university has received questions from student workers, especially those needing to work to cover expenses. Student workers are permitted to work in person on campus provided that the department for which they work implements appropriate social distancing requirements and other safety measures. We recommend that departments be creative in identifying mechanisms to allow student workers to work remotely with the provision that appropriate duties can be assigned and that the department has mechanisms in place to monitor that work. Student workers should contact their supervisor regarding their ability to work. Students feeling ill should not come to work and should self-monitor and seek medical care if needed. Students not ill and not wishing to work in person will not be required to do so and will continue to be paid only if remote work is a possibility per above and approved by their supervisor. If students are unable to work in person or remotely, the student will not be paid. Departments are encouraged to provide as much flexibility regarding duties as feasible. Sincerely, Carol A. Fierke Provost and Executive Vice President"
