date,school,content
24-Jan-20,Florida,"JANUARY 24: GUIDANCE ON COVID-19
University of Florida officials are closely monitoring updates related to a novel coronavirus as a second confirmed case has been reported in the U.S. connected to an outbreak in Wuhan, China.

The second U.S. case was confirmed today in Chicago. No cases have been reported at UF or elsewhere in Alachua County. The university is coordinating with UF Student Health, UF Health, the Alachua County Health Department, UF Emergency Management and the UF International Center for local planning regarding the novel coronavirus using up-to-date guidance from state and federal health officials.

READ MORE  >>"
31-Jan-20,Florida,"JANUARY 31: GUIDANCE ON COVID-19
With the World Health Organization having declared a global health emergency due to the spread of the novel coronavirus and the U.S. State Department raising its travel advisory to Level 4 warning people not to travel to China, the University of Florida is continuing to closely monitor the situation in conjunction with local and state health officials.

The university announced today that it will not approve university travel to China for employees and will not reimburse for any university travel to China that commences after today. In addition, the UF International Center will no longer approve travel to China for students until further notice.

READ MORE  >>"
10-Feb-20,Florida,"FEBRUARY 10: GUIDANCE ON COVID-19
As the outbreak of the 2019 novel coronavirus (2019-nCoV) continues to evolve, the Centers for Disease Control and Prevention, or CDC, and the Department of Homeland Security have updated the travel alerts and instructions for travelers returning to the U.S. from China.

Travelers from Hubei Province are subject to up to 14 days of mandatory quarantine to ensure they are provided proper medical care and health screenings.
Travelers from other parts of mainland China are subject to up to 14 days of self-quarantine with health monitoring to ensure they have not contracted the virus and do not pose a public health risk.
As a precaution, any UF or UF Health faculty, staff or volunteers who are subject to the mandatory or self-quarantine as defined above will be required to be quarantined for up to 14 days and must follow the processes below upon returning from China and/or before returning to the UF/UF Health campus.

READ MORE  >>"
11-Feb-20,Florida,"FEBRUARY 11: GUIDANCE ON COVID-19
Travelers from Hubei Province are subject to up to 14 days of mandatory quarantine to ensure they are provided proper medical care and health screenings.

Travelers from other parts of mainland China are subject to up to 14 days of self-quarantine with health monitoring to ensure they have not contracted the virus and do not pose a public health risk.

As a precaution, any UF student who is subject to the mandatory or self-quarantine as defined above will be required to be quarantined for up to 14 days and must follow the processes below upon returning from China and/or before returning to the UF/UF Health campus.

READ MORE  >>"
28-Feb-20,Florida,"FEBRUARY 28: GUIDANCE ON COVID-19
As cases of COVID-19 continue to spread around the globe, the University of Florida continues to closely monitor the rapidly evolving situation and is prepared to respond appropriately.

To date, no cases have been reported at UF or elsewhere in Florida. Sixteen cases of COVID-19 are confirmed in the U.S.

While the immediate risk to the general U.S. public is considered low, the Centers for Disease Control and Prevention advise the virus will likely cause a global pandemic and is urging Americans to prepare much as they would for a hurricane. According to the CDC, a pandemic refers to an increase in cases that spreads over several countries or continents, usually impacting a large amount of people.

READ MORE  >>"
2-Mar-20,Florida,"MARCH 2: GUIDANCE ON COVID-19
With the state?s first presumptive cases of COVID-19 reported in Hillsborough and Manatee counties on Sunday and Gov. Ron DeSantis directing the state surgeon general to declare a public health emergency, University of Florida officials are mindful of concerns students and their families may have this week during Spring Break. UF officials are continuing to monitor the situation closely and will be looking to the state Department of Health and the CDC for guidance as the week progresses. We will communicate new information to the UF community as it becomes available during this rapidly evolving situation.
 
Students and other members of the UF community are reminded to practice frequent hand washing, stay home when sick, and cover coughs and sneezes. Additional hygiene information is available at the CDC. To minimize the virus? spread, UF is taking the following precautions:
READ MORE  >>"
6-Mar-20,Florida,"MARCH 6: UF PREPARING FOR RETURN FROM SPRING BREAK
As Spring Break concludes and classes resume next week at the University of Florida, UF officials want you to know what is being done to prepare in light of the ongoing COVID-19 situation.

Effective immediately, no one who has been to China, Japan, South Korea, Italy or Iran within the past 14 days will be permitted on the UF campus. This applies to students, faculty, staff and visitors, with the exception of anyone seeking or receiving medical treatment at UF Health or UF Health Jacksonville. 

No cases of COVID-19 have been reported on the UF campus or in Alachua County. However, UF is taking numerous precautions to protect the health and safety of our students, faculty and staff.

READ MORE  >>"
9-Mar-20,Florida,"MARCH 9 UPDATE: COVID-19 AND ONLINE CLASSES
In response to the evolution of the COVID-19 outbreak in the U.S., Provost Joe Glover sent a memo to academic deans today recommending that instructors move their courses from face-to-face delivery to an electronic delivery mode effective immediately, wherever possible.

While this is not a requirement at this time, there is a strong probability that it will become a requirement before the end of the spring semester, and so instructors are encouraged to transition now.

READ MORE  >>"
11-Mar-20,Florida,"MARCH 11: A MESSAGE FROM PRESIDENT KENT FUCHS
UF requires all classes to move online

University remains open and fully operational

Students encouraged to return home until March 30

In accordance with guidance issued today by the State University System and in response to the COVID-19 situation, the University of Florida will move classes online by Monday, March 16, and classes will remain online until at least March 30.

Additionally, UF is encouraging all students to return to their homes and remain there until March 30. We understand that for some students, returning home may not be feasible. Campus resources including dining halls will remain open for those students.

READ MORE  >>"
13-Mar-20,Florida,"MARCH 13: MESSAGE REGARDING ALACHUA COUNTY PUBLIC SCHOOL CLOSURES
We realize the announcement of public school closings will impact many of our faculty and staff.  While the university continues to be open, an employee who is unable to report for or remain at work due to a family care emergency such as this may use one of the following types of time off to account for time away from work, with supervisory approval:

READ MORE  >>"
16-Mar-20,Florida,"MARCH 16: UPDATED POLICIES FOR TRAVEL, CAMPUS VISITS, EVENTS AND SOCIAL DISTANCING
Dear Faculty and Staff,

In line with Governor DeSantis? guidance and the directives issued by the state?s Department of Management Services, the university will be implementing the following policies effective immediately:

READ MORE  >>"
17-Mar-20,Florida,"MARCH 17: CLASSES ONLINE FOR REMAINDER OF SPRING SEMESTER
Dear students, faculty and staff,

I am writing to let you know that in response to Gov. Ron DeSantis? announcement today that four University of Florida students have tested positive for COVID-19 and at the governor?s recommendation, all UF classes will remain online for the remainder of the Spring semester.

Students who have not gone home yet must do so if possible. We understand that for some students, Gainesville is home. Additionally, employees who can work remotely are strongly encouraged to do so.

READ MORE  >>"
17-Mar-20,Florida,"MARCH 17: UF WILL OFFER FULL SUITE OF COURSES FOR SUMMER A, B AND C; SUMMER A AND C WILL BE ONLINE
We want you to know that we are offering a full suite of courses for Summer A, B, and C. Summer A/C courses will be provided online so you can continue to make progress even in the current circumstances. 

READ MORE  >>"
19-Mar-20,Florida,"MARCH 19: SPRING COMMENCEMENT RESCHEDULED
Following the State University System?s announcement that on-campus commencement ceremonies will not be held at Florida public universities in May, UF has rescheduled its Spring commencement for the weekend of July 31-August 2 for students graduating with master?s or bachelor?s degrees.  Graduating doctoral students can participate in the summer doctoral ceremony scheduled for August 7. Guests are welcome to attend all ceremonies, and tickets will not be required.
READ MORE  >>"
20-Mar-20,Florida,"MARCH 20: MESSAGE ON FITNESS CENTERS, DORMS AND MEAL PLANS
Today, Gov. Ron DeSantis issued an executive order (No. 20-71) regarding Gyms and Fitness Centers. In accordance with state guidance, campus recreation and fitness centers, including Southwest Recreation Center will close at 10 p.m. tonight until further notice. 

Lake Wauburg North Shore will remain open except for the swimming area and boating. Hours of operation can be found online at https://recsports.ufl.edu/about/hours/.

Recreational Sports will be providing online exercise courses and instruction for students to remain active remotely.

READ MORE  >>"
24-Mar-20,Florida,"MARCH 24: UF TO REMAIN OPEN, BUT WILL LIMIT ON-CAMPUS WORK TO ESSENTIAL SERVICES, STARTING TODAY
Alachua County mandated emergency ""stay at home"" orders effective at midnight, Monday, March 23. UF is reducing on-campus personnel to those identified as essential, starting today. If you are unsure about whether this includes you, your manager will be able to provide you with guidance and more details about what this entails.

If you have been approved to work from home, please do so. If you have been identified as essential and your job requires you to remain on campus, please practice social distancing, maintaining at least a 6-foot distance between yourself and others whenever possible. The University of Florida is firmly committed to prioritizing our community?s health and safety to the greatest extent possible."
25-Mar-20,Florida,"MARCH 25: MESSAGE TO STUDENTS ON SPRING 2020 S/U GRADING AND DROP OPTIONS
In the past two weeks, our entire Gator community has faced unprecedented change in our work, study, and social lives because of the COVID-19 pandemic.  The UF Administration and Faculty are grateful for your resilience and flexibility in shifting your lives away from campus as a result of this pandemic. Many of you have shared your experiences with us as you make every effort to transition to a new place and a new way of learning, and we recognize the extreme disruption this shift has brought to your lives.

In an attempt to help you continue to progress towards your degree and future career aspirations in a timely manner, the UF Administration and Faculty have approved a change in the current UF S-U Grading and Drop Policies for Spring 2020 courses.

READ MORE  >>
"
27-Mar-20,Florida,"MARCH 27: PARTIAL HOUSING AND DINING REFUNDS FOR SPRING 2020 SEMESTER
The University of Florida and its Dining service provider Aramark plan to offer students partial refunds for those who left campus early this semester due to COVID-19.

READ MORE  >>"
27-Mar-20,Florida,"MARCH 27: HIRING PAUSE
In response to the continuously changing circumstances involving the spread of COVID-19, the University of Florida is pausing faculty and staff hiring, including OPS jobs, effective immediately and until further notice, with a few exceptions. 

READ MORE  >> "
30-Mar-20,Florida,"MARCH 30: UF PRESIDENT KENT FUCHS UPDATE ON COVID-19
A video message from President Kent Fuchs regarding UF community resilience and his four priorities for the coming weeks:

View on YouTube >>"
3-Apr-20,Florida,"APRIL 3: NOTE OF GRATITUDE TO FACULTY MEMBERS FROM PROVOST JOE GLOVER AND PRESIDENT KENT FUCHS
We want to take this time to extend our profound gratitude for your tireless work and resilience since the start of the coronavirus pandemic.

Three weeks ago you were asked to move all instructional activities online. We thank you for successfully and smoothly doing so, while helping students make the transition as they dispersed, many of them under considerable stress.

READ MORE  >>"
3-Apr-20,Florida,"APRIL 3: A NEWSLETTER FROM VICE PRESIDENT FOR STUDENT AFFAIRS D'ANDRA MULL
Moving into April, I hope you have found your stride with online course work and are utilizing ways to effectively study in your new environments.

This week, state of Florida Governor Ron DeSantis issued a ?safer at home? executive order that addresses essential services and activities for the state of Florida, which went into effect today. Since the beginning of the COVID-19 crisis, UF has implemented a variety of measures to be responsive to the changing realities associated with the pandemic, and our community has already been operating in a manner consistent with this executive order as well as local county guidance since March 24.

READ MORE  >>"
6-Apr-20,Florida,"APRIL 6: SUMMER B ONLINE / REVISED DATES FOR SUMMER A, B AND C
UF will continue online delivery of coursework during the Summer B term, as has been announced for the Summer A and Summer C  terms.

The Summer B term is being shifted to start one week later than had been previously announced in the academic calendar. This shift will also affect some Summer C dates as indicated below. Summer B Classes will begin on July 6 instead of on June29.

Other important dates to note:

READ MORE >>"
6-Apr-20,Florida,"APRIL 6: SPRING 2020 S/U GRADING OPTION FOR UF GRADUATE STUDENTS 
Dear Graduate Students,

We appreciate your courage and patience during this difficult time. Over the past few weeks, the Graduate School has been reviewing policies to allow appropriate flexibility given the Coronavirus (COVID-19) pandemic for Spring 2020. The Graduate School and several colleges will implement policy to provide an S/U (satisfactory/unsatisfactory)grading option to eligible, letter-graded graduate courses, as determined by your college and department, for Spring 2020. 

READ MORE >>"
15-Apr-20,Florida,"APRIL 15: APRIL 2020 PARKING DECAL REFUNDS & SUMMER 2020 PARKING DECAL REQUIREMENTS 
Parking Decal Refunds for April 2020

Due to the unprecedented impact of COVID-19, UF Transportation and Parking Services will provide students, faculty, and staff parking decal refunds for the month of April 2020. These refunds will be made in recognition of the early departure from campus by most students, the adjustment to online classes by faculty, and the movement to alternative work locations by many employees. 

READ MORE >>"
17-Apr-20,Florida,"APRIL 17: ACTING AND DECIDING IN UNCERTAIN TIMES
A column by UF President Kent Fuchs in The Independent Florida Alligator discussing planning and decision-making for the fall semester.

When facing a crisis, I suspect I have the same feelings and reactions as many others. I want to fix the problem and make decisions so I can plan ahead. 

What?s been so difficult about the ongoing pandemic is that its global and local uncertainties have largely prevented me from following my instincts. I?ve had to learn to make decisions that need to be made each day and then to plan for a variety of future scenarios. My inability to know and control the future is frustrating, but I know it must not stop me from acting on what must be done and decided each day.

With only two weeks left in the Spring semester, students and everyone in our university community are eager for information on what?s ahead. We have clarity about much of the Summer, but for the Fall we do not yet know how we will implement teaching, research, clinical and extension activity or even how we will enjoy our Gator football games.

Hundreds of talented individuals across the university are working to plan and prepare the campus for a variety of possible scenarios. They are working to both model and control the future.

I am optimistic that by the end of summer, there will be multiple breakthroughs in testing for the virus and antibodies, as well as advances in contact tracing. I?m also hopeful that supply-chain challenges will have been resolved.  I expect that during the summer, many of our faculty will return to their offices, libraries and laboratories, and our employees will gradually resume their normal work routines across the university.  

We expect that valuable information and breakthroughs will emerge in the month of May, enabling us to make important decisions in June and July about the Fall semester. We have a significant advantage over many universities with the presence of UF Health and our exceptional academic health center that are treating patients and conducting research. The Emerging Pathogens Institute is a national asset as its faculty model the pandemic and provides the insight necessary for therapies and vaccines.

As we learn more, we will coordinate closely with the State University System leadership and our elected leaders in determining the next steps. I anticipate we will announce a course of action for the Fall no later than July 15, and by then we will have clarity about major events such as August graduation ceremonies. 

I know many students are facing financial hardships due to the loss of jobs or other impacts of COVID-19 on them or their families. We learned last week the very good news that the federal government will provide $15.5 million to UF for direct aid to affected students. We are determining how to distribute these funds, with more information set to become available soon. This is in addition to the $1.8 million in emergency aid provided to students by donors and university relocations.

Finally, our work goes on. More will be accomplished at our university in the next two weeks than at any other time of the entire year. 

Thousands of papers, projects and exams will be completed, despite students and faculty abruptly having to transition to all-online classes last month. It will be a time of great stress, but also great joy, as students finish their classes and nearly 10,000 students earn their UF degrees.

I pray that all our students, faculty and staff will have the stamina and clarity to finish strong  and the continued resilience and optimism to succeed in the times ahead. 

Whether you are graduating, remaining at UF or moving on to new opportunities, I wish you the best for the summer and beyond. I very much look forward to seeing you when we meet again.

READ ORIGINAL COLUMN ONLINE >>"
