date,content,school
27-Jan-20,"Health Advisory: Novel Coronavirus (2019-nCoV)

Public health agencies are closely monitoring developments around an outbreak of respiratory illness caused by a novel coronavirus first identified in Wuhan, Hubei Province, China. Additional cases have been identified in a growing number of other locations, including the United States, where five cases in travelers from Wuhan have been confirmed in four states (Arizona, California, Illinois, and Washington) as of Jan. 26, 2020.

At this time, there are no confirmed cases of the virus among members of the University of Miami community or in the state of Florida, and we do not believe that there is any immediate health risk to our campuses.

Student Health Service and other University partners are closely monitoring the situation and are following guidelines from the Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO). The University is taking precautions to identify cases as early as possible should they occur among members of the University community and continues to work in coordination with the Florida Department of Health and the CDC.

If you have been to Hubei Province, China—or been in contact with someone who has—in the past two weeks and feel sick with fever, cough, or difficulty breathing, you should seek medical care right away. Before you go to a doctor’s office or emergency room, call ahead and tell them about your recent travel and your symptoms.

The University will notify students, staff, and faculty members if there is any immediate health threat and will share information on the Student Health Service webpage as it becomes available.

As a reminder, all students, staff, and faculty members traveling on a University trip must register their travel information with International SOS before departing.

Flu activity is high in the U.S. and is expected to continue for several weeks. Anyone who has not received a flu vaccine this season should consider getting the vaccine. As always, we encourage any student who has health-related questions to contact Student Health Service at studenthealth@miami.edu and to refer to the Student Health Service website for any updates. Staff and faculty members should contact their primary care provider with any health care questions.

Frequently asked questions about coronavirus

What is Novel Coronavirus?  

    The 2019 Novel Coronavirus (2019-nCoV) is a virus identified as the cause of an outbreak of respiratory illness first detected in Wuhan, China. While the CDC considers this a serious public health concern, the immediate health risk from a coronavirus to the general American public is considered low at this time.

What are the symptoms?  

    Current symptoms reported for patients with 2019-nCoV have included mild to severe respiratory illness with fever, cough, and difficulty breathing.

How is it transmitted?  

    According to the CDC, the virus likely emerged from an animal source but now seems to be spreading from person to person. It is not yet clear how easily 2019-nCoV spreads from person to person.

How is it prevented and treated?

    Currently, there is no vaccine available to protect against 2019-nCoV. The CDC recommends everyday preventive actions to help prevent the spread of respiratory viruses, including:
        Wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use an alcohol-based hand sanitizer.
        Avoid touching your eyes, nose, and mouth with unwashed hands.
        Avoid close contact with people who are sick.
        Stay home when you are sick.
        Cover your cough or sneeze with a tissue, then throw the tissue in the trash.
        Clean and disinfect frequently touched objects and surfaces.

What travel guidance has been offered for those traveling to or from China?  

    As of Jan. 27, 2020, the CDC has issued a Level 3 Travel Health Notice recommending people avoid all nonessential travel to Hubei Province, China, including Wuhan. The CDC has also issued a Level 2 Travel Health Notice for the rest of China. The notice advises travelers to other parts of China to protect their health by avoiding contact with sick people, avoiding animals (alive or dead) and animal markets, and washing their hands often.

Additional information about 2019 Novel Coronavirus is available on the Centers for Disease Control and Prevention website.",Miami
31-Jan-20,"To the University of Miami Community,

We are writing with an update on the University of Miami’s response to the novel coronavirus outbreak first identified in Wuhan, Hubei Province, China. The University is working closely with Miami-Dade County and the state of Florida to monitor this situation and is following guidelines from the Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO).

At this time, there are no confirmed cases of the virus among members of the University of Miami community or in the state of Florida, and we do not believe that there is any immediate health risk to our campuses.

The University of Miami Health System, UHealth, is following all CDC infection control recommendations to ensure the safety of all patients and staff, as well as to implement appropriate precautions for any patients who may arrive at UHealth facilities meeting the CDC screening criteria for the virus.

The U.S. State Department on Thursday, Jan. 30, heightened its travel advisory for China, urging citizens not to travel there due to the rapid spread of coronavirus.

Out of an abundance of caution, the University of Miami is implementing the following guidelines regarding travel to and from China:

Travel to China:

    Consistent with the State Department advisory, the University is suspending all University-affiliated travel to China, effective immediately.
    All University-affiliated study abroad programs to China for the 2020 spring and summer semesters have been postponed and the Miami Herbert Business School’s March 2020 program in China has been canceled.
    Consistent with both State Department and CDC guidance, the University also recommends that all students, staff, and faculty members avoid all nonessential personal travel to China.


Travel from China:

    Any student who has returned to the United States from China within the past 14 days must contact Student Health Service at studenthealth@miami.edu.
    Any staff or faculty member, or visiting scholar, who has returned to the United States from China within the past 14 days must contact UHealth Infection Control at 786-427-5018.
    All travelers arriving in the U.S. from China are being screened for symptoms of novel coronavirus at 20 U.S. ports of entry, including Miami International Airport.


As a reminder, all students, staff, and faculty members traveling on a University trip must register their travel information with International SOS before departing.

Flu activity is high in the U.S. and is expected to continue for several weeks. Anyone who has not received a flu vaccine this season should consider getting the vaccine. As always, we encourage any student who has health-related questions to contact Student Health Service at studenthealth@miami.edu and to refer to the Student Health Service website for any updates. Staff and faculty members should contact their primary care provider with any health care questions.

The University will notify students, staff, and faculty members if there is any immediate health threat to our campuses and will modify guidance as the situation warrants.

Additional information about novel coronavirus:

    University of Miami novel coronavirus health advisory No. 1(Jan. 27, 2020)
    Student Health Service novel coronavirus information and FAQs
    WHO novel coronavirus information
    CDC novel coronavirus information
    CDC novel coronavirus travel notice (Level 3)
    State Department China travel advisory (Level 4)",Miami
26-Feb-20,"To the University of Miami Community,

Following careful review of guidance from the U.S. Department of State, the Centers for Disease Control and Prevention (CDC), and the World Health Organization (WHO) related to the coronavirus (COVID-19) outbreak, the University of Miami is implementing new travel guidance for Italy and South Korea, and is maintaining travel restrictions for China.

At this time, there are no confirmed cases of the virus among members of the University of Miami community or in the state of Florida, and we do not believe that there is any immediate health risk to our campuses.

Out of an abundance of caution, the University is implementing the following travel guidelines:

Travel to Italy or South Korea:

    The CDC has issued a level 2 travel alert for Italy, citing coronavirus and recommending travelers “practice enhanced precautions,” and a level 3 travel alert for South Korea, recommending that travelers “avoid all nonessential travel” to the country.
    Consistent with these advisories, only essential University-affiliated travel to these countries will be permitted, and travel should be delayed if possible.
    The University also strongly recommends that all students, staff, and faculty members avoid all nonessential personal travel to Italy or South Korea.
    Any member of the University community who travels to Italy or South Korea, whether for University-affiliated or personal travel, is required to self-identify immediately upon return and may be required to self-quarantine for 14 days. Students returning from these countries must contact Student Health Service at studenthealth@miami.edu; staff, faculty members, or visiting scholars returning from these regions must contact UHealth Infection Control at 786-427-5018.


Travel to China:

    Consistent with a State Department advisory, the University has suspended all University-affiliated travel to China, effective Jan. 31.
    All University-affiliated study abroad programs to China for the 2020 spring and summer semesters have been postponed and the Miami Herbert Business School’s March 2020 program in China has been canceled.
    Consistent with both State Department and CDC guidance, the University also recommends that all students, staff, and faculty members avoid all nonessential personal travel to China.
    Any member of the University community returning from China, whether for University-affiliated or personal travel, is required to self-identify immediately upon return. Students returning from China must contact Student Health Service at studenthealth@miami.edu; staff, faculty members, or visiting scholars returning from China must contact UHealth Infection Control at 786-427-5018.
    Beginning Feb. 2, any U.S. citizen returning to the United States who has been in Hubei Province in the previous 14 days will be subject to up to 14 days of mandatory quarantine.
    Any U.S. citizen returning to the United States who has been in other parts of mainland China within the previous 14 days will undergo health screening at select ports of entry and up to 14 days of monitored self-quarantine.


As a reminder, all students, staff, and faculty members traveling abroad as part of academic programs or University business must receive approval in advance and must register their travel information with International SOS.

Public health advisories and health precautions can change with little notice. Anyone planning international travel should check the status of COVID-19 alerts and precautions at all destinations, including layovers, and continue to do so until their return to the U.S.

Students who have questions about their return from countries affected by COVID-19 should contact Student Health Service at studenthealth@miami.edu. University employees who have questions should contact UHealth Infection Control at 786-427-5018.

The University continues to work closely with Miami-Dade County and the state of Florida to monitor the coronavirus situation and is following guidelines from the State Department, CDC, and WHO. As the situation evolves, additional travel restrictions may be implemented. Please continue to monitor updates from the University and public health agencies.

Official communications from the University regarding the COVID-19 outbreak can be found at news.miami.edu/coronavirus.

Additional information about novel coronavirus:

    Student Health Service novel coronavirus information and FAQs
    WHO novel coronavirus information
    CDC novel coronavirus information",Miami
28-Feb-20,"To the University of Miami Community,

The University of Miami continues to closely monitor the coronavirus (COVID-19) outbreak, and University leaders are planning for a broad range of contingencies. We wanted to share with you important information regarding spring break and University-affiliated travel.

Following careful review of guidance from the U.S. Department of State, the Centers for Disease Control and Prevention (CDC), and the World Health Organization (WHO), and out of an abundance of caution, the University is implementing the following updates to travel restrictions:

    All University-affiliated travel to China, South Korea, Italy, Japan, and Iran is suspended, effective immediately.
    The University strongly recommends that all students, staff, and faculty members avoid all personal travel to China, Iran, Italy, Japan, or South Korea.
    Any member of the University community who travels to or from China, Iran, Italy, Japan, or South Korea is required to self-identify prior to returning to campus and will be required to self-quarantine for 14 days. Students returning from these countries must contact Student Health Service at studenthealth@miami.edu; staff, faculty members, or visiting scholars returning from these regions must contact UHealth Infection Control at 786-427-5018.

In addition to these travel restrictions and previously announced actions, the University is implementing the following measures:

    The University has suspended study abroad programs in Italy. All students enrolled in the Italy program are to return to their home locations in the United States or respective country by March 6, 2020.
    Study abroad programs in China, Japan, and South Korea, scheduled to begin later this semester, also have been suspended.
    The University is communicating directly with students in the impacted study abroad programs and is working with those students to ensure their safe return to the U.S. and to minimize disruption to their academic studies.
    The Study Abroad office continues to work directly with students enrolled in global academic programs. Study abroad students who have questions should email studyabroad@miami.edu.

As a reminder, all members of the University community traveling abroad to countries not restricted above as part of academic programs or University business must receive approval in advance and must register their travel information with International SOS.

Public health advisories and health precautions can change with little notice. Anyone planning international travel should check the status of COVID-19 alerts and precautions at all destinations, including layovers, and continue to do so until their return to the U.S.

Students who have questions about their return from countries affected by COVID-19 should contact Student Health Service at studenthealth@miami.edu. University employees who have questions should contact UHealth Infection Control at 786-427-5018.

Official communications from the University regarding the COVID-19 outbreak can be found at news.miami.edu/coronavirus.

Additional information about novel coronavirus:

    Coronavirus information for the University of Miami community
    Student Health Service novel coronavirus information and FAQs
    WHO novel coronavirus information
    CDC novel coronavirus information
    U.S. Department of State travel advisories
    CDC travel health notices",Miami
05-Mar-20,"Dear Faculty:

As we prepare for spring break, it is important that we directly address any misinformation about the University’s operational plans regarding the coronavirus outbreak. Apparently there are some unsubstantiated reports that classes will be canceled following spring break or that spring break will be extended. This is simply not true.

At this time, based on the diligent work of the University’s coronavirus taskforces, there are no plans to cancel regularly scheduled classes or to close our campuses. Further, in the absence of any reported COVID-19 cases among the University and South Florida communities, we are taking proactive steps outlined in our recent communications available at news.miami.edu/coronavirus. This site contains the most up-to-date and accurate information for the University community and is the sole source on coronavirus information for students, faculty, and staff. The University’s social media platforms are also making sure everyone is aware of this website. Please make sure faculty, staff, and students are aware of the University’s latest communications and health advisories related to the coronavirus and promote this helpful site.

I ask all of you to be nimble during this quickly-changing event and to be respectful of individual decisions made by students and academic peers as we continue to monitor this situation and to follow CDC guidelines, including their recommendations specific to higher education institutions. While we can’t predict the full scope and reach of the outbreak, spring break provides a window for faculty to consider and prepare for the potential impact the viral outbreak can have on our students and their families:

    Our recent actions to suspend study abroad programs in affected areas and nonessential international university-sponsored travel to those places are both precautionary and prudent measures, with any future actions guided by the best science and policies and in close coordination with government and public health agencies.
    Students are anxious, and we ask that the faculty be sensitive to and respectful of students’ personal health needs and that of their families.
    Faculty members should work with students who miss class because of self-isolation that may be required to ensure they can continue their academic pursuits.
    While there are no plans to close the University, we have been working on academic contingency planning since Hurricane Irma in 2017, and the School of Nursing and Health Studies’ recent presentation to the academic deans is promising and may serve as a model for other schools.
    We are more than halfway through the semester. Use spring break as an opportunity to refresh and recharge.
    Everyone should continue to follow good hygiene and responsible citizenship, which go a long way in controlling the spread of coronavirus.

Much is still unknown about the coronavirus, but we are better served by being informed, taking safeguards, following guidelines, and remaining supportive of our students and colleagues.

The health and safety of students, faculty, and staff remains our highest priority. Please do not hesitate to reach out to my office if you have any questions.

Sincerely,

Jeffrey L. Duerk, Ph.D.
Executive Vice President & Provost",Miami
06-Mar-20,"University of Miami President Julio Frenk discusses spring break and the coronavirus outbreak. Get the latest information on University messaging, resources, and frequently asked questions at our dedicated website, http://news.miami.edu/coronavirus.",Miami
11-Mar-20,"To the University of Miami Community,

We are writing to keep you updated on new developments in our response to the global outbreak of coronavirus disease (COVID-19). While there remains a high level of uncertainty, it is absolutely clear that we, along with other universities, have a responsibility to institute new mitigation practices. We recognize that these actions may be disruptive, but our actions are guided by the recommendations of leading health officials and by our priority to safeguard the health and wellbeing of our community.

This email contains critical information and updates. Please take time to review it in its entirety.

    Classes will resume as scheduled on all University campuses on Monday, March 16.

    We are curtailing large University events and meetings, at least until March 31.

    This policy does not pertain to classes or in-person academic instruction. (Additional information regarding classes can be found below.)
    Effective Sunday, March 15, through Tuesday, March 31, all campus events or meetings with 50 of more attendees, including external events, are canceled, with the following exceptions:
        University athletics events will follow NCAA, ACC, and State of Florida guidelines. At this time no changes have been made to scheduled athletics events.
        Election polling on campus will continue. The Florida primary is scheduled for March 17.
    Additional information on events occurring after April 1 will be communicated no later than March 25.
    At this time, commencement activities to be held May 7, 8, and 9, will proceed as scheduled. Any changes to that schedule will be announced by April 15.

    We are preparing for the possibility of moving classes online, if necessary.

    At this time, we are in alignment with current public health recommendations, which do not warrant a suspension of on-site learning at our campuses.
    We are working with deans and faculty members to prepare for the possibility of remote and virtual instruction for some (or possibly all) courses. As the spread of the virus is fast-changing, we will update the community with more definitive guidance as needed.
    Faculty should be prepared to test the delivery of course materials via online learning platforms on Wednesday, March 18, and Thursday, March 19.

    We are asking employees on the Coral Gables and Marine campuses (who are not part of the UHealth system) to work from home on Friday, March 13, as part of a practice test for staff to work remotely. While there are no reported cases in Miami-Dade County, the time to prepare is now.

    Every major function of the University has contingency plans in place to ensure business continuity if a modified work schedule needs to be implemented in the future. Accordingly, on Friday, March 13, while students are on spring break, we are initiating a preparedness drill on the Coral Gables and Marine campuses to identify any operational issues that may arise so that potential interruptions can be addressed prior to activating these plans.
    With the exception of Tier One employees who support critical functions that cannot be performed remotely, all employees not part of the UHealth system who are on the Coral Gables and Marine campuses are encouraged to use this Friday, March 13, as a work-from-home day. Coordination of this drill will be handled at the unit level, and supervisors are encouraged to discuss and set clear expectations with their employees.
    This is a work-from-home day, not a stay-at-home day. The purpose for this exercise is to test systems of communication and other vital functions to ensure business continuity and to identify any issues that arise, so all employees must be working and accessible throughout normal working hours.

    We are asking all units and all researchers to update their continuity plans.

    All units, including those engaged in research, are strongly encouraged to review and update continuity plans to minimize the impact to ongoing projects as a result of potential for future changes due to COVID-19. Visit www.miami.edu/UReady for additional guidance.

    All University-related international travel is prohibited. University-related domestic travel must receive prior approval by a supervising dean or vice president.

    All travel, both international and domestic, by any employee who operates in or supports clinical care is prohibited to ensure appropriate staffing levels should situations warrant.
    Any member of the University community who travels to or from China, France, Germany, Iran, Italy, Japan, South Korea, or Spain will be required to self-quarantine for 14 days upon return.
    Students returning from these countries or areas must contact Student Health Service at studenthealth@miami.edu; staff, faculty members, or visiting scholars returning from these regions must contact UHealth Infection Control at 786-427-5018 prior to coming to campus.
    We also strongly discourage all members of the University community from any personal travel using mass transit (excluding localized mass transit, such as Metrorail or Tri-Rail).
    Travel for University athletics will continue to follow NCAA and ACC guidelines.

    We are restricting guest access to residence halls.

    Effective Monday, March 16, access to University residence halls will be limited to University students, staff, and faculty. Outside guests will not be permitted inside residence halls.
    ’Cane Card access will be required to enter outside doors of the residential colleges at 5 p.m. daily, rather than 10 p.m., beginning on March 16.


On Monday, March 9, Florida Gov. Ron DeSantis declared a state of emergency in Florida. The designation allows the state to take proactive and effective measures to address the coronavirus outbreak. While there are 14 confirmed cases in Florida, there are no confirmed cases of coronavirus among members of the University of Miami community or in Miami-Dade County.

The situation remains fluid and University guidelines may evolve. We will continue to provide regular updates. This information, as well as prior University advisories and links to additional resources, can be found on the University’s designated coronavirus site at news.miami.edu/coronavirus.

These updates are important not only for you, but also for your family, so we ask that you share this communication with parents and other family members as appropriate.",Miami
12-Mar-20,"To the University of Miami Community,

The University of Miami leadership team, dedicated COVID-19 task force, and emergency management team have been closely monitoring the spread of the coronavirus outbreak while aggressively preparing for contingencies around this rapidly evolving situation. The health and well-being of our community remain our highest priorities.

Over the past 24 hours, the World Health Organization declared the coronavirus outbreak a global pandemic, while Miami-Dade County recorded its first confirmed case and declared a state of emergency. Given these unprecedented circumstances, and following the guidance from Gov. Ron DeSantis, state agencies, and public health officials yesterday, University leadership has made the following immediate decisions:

Spring break has been extended through March 22. Classes will resume on March 23, but strictly in online/remote/distance learning environments through at least April 4.

CLASSES

    Spring break for students has been extended through next week.
    The spring semester will resume on Monday, March 23; however, classes will be provided strictly in online/remote/distance learning environments through at least Saturday, April 4.
    We will continue to monitor the COVID-19 situation and will make a future decision regarding when in-person instruction may resume.
    Faculty should use this time to prepare for online course delivery, which will begin on Monday, March 23. The University has launched an academic and business continuity site to assist faculty members and students in continuing their teaching and learning activities with minimal disruption.


ON-CAMPUS HOUSING, DINING, AND ACTIVITIES

    Residential colleges and designated dining facilities will remain open during this time, based on demand. However, students should consider whether their campus or permanent residence is the safest option during this time.
    Any student who has visited China, France, Germany, Iran, Italy, Japan, South Korea, or Spain is not permitted to return to campus until they have completed a mandatory 14-day self-quarantine period. This remains consistent with earlier guidance.
    Effective Monday, March 16, outside guests will not be permitted inside residential colleges.
    University Libraries, the Shalala Student Center, the Herbert Wellness Center, Student Health Service, and the Counseling Center will remain open.
    The University’s housekeeping services have increased the frequency and depth of cleaning and disinfection in all campus facilities. In addition, the University has placed additional hand-sanitizing stations throughout all campuses.


FOR FACULTY AND STAFF

    Outside of course instruction, all University operations will continue as normal, and faculty and staff are expected to maintain their normal work schedules and activities. This decision is consistent with guidance from public health agencies.
    If you or a member of your household falls into one of the high-risk groups as identified by the CDC, such that you may be advised by a medical professional not to come to work, please contact Human Resources Management.
    Faculty and staff are encouraged to practice social distancing and cough and sneeze etiquette, as well as follow CDC recommendations for handwashing and the use of hand sanitizer.


EVENTS AND ATHLETICS COMPETITIONS

    Effective Sunday, March 15, through at least Tuesday, March 31, all campus events or meetings with 50 of more attendees, including external events, are canceled, with limited exceptions.
    Home athletics competitions will continue but without fans. This decision follows the NCAA decision yesterday to conduct the men’s and women’s basketball tournaments without fans.
    Please refer to the University’s dedicated COVID-19 site for complete, up-to-date guidance on campus events and meetings.


All of the measures outlined above are being done to reduce the potential for the spread of the coronavirus and are in the interest of the safety of our University community.

The University has launched an expanded COVID-19 site with up-to-date guidance, advisories, and links to resources at coronavirus.miami.edu.

The University has allocated funds and secured the necessary supplies and materials to ensure the continuity of operations and is implementing numerous measures to maintain a safe campus environment. Our dedicated COVID-19 task force, which has been meeting since January, continues to work diligently on this unprecedented situation.

We recognize that these actions are disruptive, but they are guided by the recommendations of leading health officials and by our priority to safeguard the health and well-being of our community. We will continue to provide regular updates.",Miami
13-Mar-20,"Dear Faculty,

The COVID-19 pandemic is disrupting our day-to-day lives in many consequential and unexpected ways. But even in the face of this evolving threat, I have been heartened over the past couple of days as the University community has come together and worked to ensure that our core functions—teaching and learning, research and innovation, and patient care—thrive at the U.

While we are concerned with the uncertainty of how this outbreak will impact us, I am convinced the work we do at the University of Miami is more important than ever. I am truly grateful for your continued focus, creativity, and patience in the face of these challenges. I want to thank academic and administrative teams across the university for their strong leadership and decisive and tempered responses.

The steps we are taking to ensure our students can continue to pursue their education and academic goals will require all of us to adapt quickly to new ways to deliver instruction and present course work. At the same time, more than hardware and software, our students will need your understanding and flexibility. We must recognize that their very way of life as college students has been completely disrupted, and they will look to their teachers and advisors for support and guidance. Your enthusiasm to try new teaching techniques will be met by their embrace of fresh pedagogies. The students will look to us as mentors and role models, they will read our verbal and non-verbal cues, and their emotional state will be amplified by what they see in us. Now is the time for us to be renewed and resilient: a common theme among ‘Canes.

We are also providing expanded guidelines and resources to our research enterprise, which, working hand in hand with our clinical faculty, are on the frontlines of providing innovative solutions to challenges like COVID-19.

Next week provides a vital window of opportunity for the institution to launch a new and demanding chapter in our history. Thanks to our previous experience preparing for and responding to hurricanes in South Florida, we have benefited from having actually tested emergency operation plans that allow for business continuation with limited interruptions. Many schools and colleges had been developing or recently completed their academic continuity plans. Well done! Few of us expected we would have the chance to test them so quickly. I encourage you to work closely with your colleagues at the U and across the world to learn valuable lessons and best practices in this new living and learning environment.

You will receive more instructions on course preparation and training when you return to campus next week. Remember to visit our dedicated COVID-19 website for the latest information at coronavirus.miami.edu.

There is still so much we don’t know about how the COVID-19 pandemic will play out, but I am sure we will get through this together. I’m proud and amazed at our adaptability. From the bottom of my heart—thank you!

Jeffrey L. Duerk, Ph.D.
Executive Vice President & Provost",Miami
14-Mar-20,"UPDATE: HR POLICIES

Dear Gables and Marine campus colleagues (non-UHealth/MSOM),

On Friday, March 13, an email communication was distributed to all Gables and Marine campus leaders (non-UHealth/MSOM) regarding temporary exceptions to policies to encourage social distancing and minimize the number of people on campus in response to COVID-19. These are temporary measures, as we are continuously monitoring this public health crisis, and will evaluate changes as the situation arises. 

The health and well-being of our community remains our priority. 

We have asked managers to use their best judgment and encourage employees to work from home wherever possible and accommodate requests as outlined below while continuing to meet the critical needs of the operation.

Please review the following information carefully and speak with your manager about remote work options.

The following are guidelines for Coral Gables and Marine campus employees effective March 14 through April 4.
TELECOMMUTING OPTIONS

Friday, March 13 was a test of capability for a wide range of employees to work from home. To evaluate our efforts, there will be a survey emailed Monday, March 16 to all Coral Gables and Marine campus employees asking for feedback. It is critical to have your participation in this survey regardless of whether you worked from home or worked from your regular office space. The information will allow us to plan and prepare for potential disruptions due to COVID-19.

Employees may be eligible for a work-from-home arrangement if job duties are not required to be performed on site, do not directly provide on-site support to students, and can be performed remotely with minimal disruption. There are many tools that can be used in assessing whether work can be performed from home, the list of remote access tools available on the remote access technologies website may be helpful.

Note: All work-from-home arrangements require a manager’s advance approval.

Once it is determined that job duties can be performed from home, managers were advised to prioritize in assigning work-from-home arrangements. 

CDC guidelines on individuals most vulnerable:

Employees who fall into one of the high-risk groups as identified by the CDC and have notified their managers that they have an underlying chronic medical condition that makes them especially vulnerable to the COVID-19 virus should be considered a priority in accommodating a work-from-home arrangement, wherever feasible. If a work from home arrangement is not possible, employees in this category will be eligible to use accrued paid time (sick leave/vacation or floating holidays) so that they may self-isolate at home to reduce risk. Employees in this category may be required to provide medical documentation.

School or Daycare Closure:

Employees unable to come to work due to a COVID-19 daycare or school closure that requires them to be home with their child may work remotely if operationally feasible; if remote work is not operationally feasible, employees may use accrued paid leave time (sick leave/vacation or floating days) during this period.

Employees may not bring children or any relatives to work with them, particularly during this time. 

Rotational Options:

Once the above priorities have been considered, departments are encouraged to implement broader measures to foster work-from-home arrangements that minimize the number of employees on campus while fulfilling critical operations. This may include rotating staff working from home and some remaining on site, essentially a Team A and Team B approach.
PAID SICK TIME  

Our priority is to ensure the health and safety of the University community and encourage all those who are ill, or caring for those who are ill, to remain at home. In that spirit, we are implementing temporary measures to enable employees affected by COVID-19 to focus on getting well without concern of losing pay.

    Employees unable to work due to their own or their family member’s COVID-19 symptoms should remain at home and utilize sick time. If accrued sick time has been exhausted, staff will be eligible to borrow from future sick time not to exceed 21 business days (or up to 168 hours) during this period.
    Temporary or per diem employees unable to work due to their own COVID-19 symptoms who have provided appropriate medical documentation, will be provided paid administrative leave for a period of up to 2 weeks equal to their normal work schedule.


Travel Restrictions:

Employees currently returning from the affected countries identified by the CDC, are required to remain at home in self-isolation for 14-days on administrative paid leave. Employees are required to contact Infection Control at (786) 427-5018 to report their return from travel.

If an employee chooses to travel to one of these countries after the latest set of restrictions published on March 11, they will still be required to self-isolate upon return but will need to use their own accrued paid time off to remain in pay status. We strongly discourage all international travel and domestic travel that requires any form of mass transportation, except for local mass transit.

All employees should continue to take preventive actions during this time to avoid the spread of the virus. For continuous updates on COVID-19, please refer to the University’s dedicated COVID-19 site ( coronavirus.miami.edu) for complete, up-to-date guidance on campus events and meetings. 

Please continue to work with your supervisor and leaders as we monitor COVID-19 and the related public health guidelines. For additional assistance, please reach out to your manager or HR partner. 

Thank you for all that you continue to do as we work to care for our families, staff, faculty, and the broader UM community.

Mary Harper Hagan
Vice President
Human Resources",Miami
